기관명,계약번호,계약명,계약일,계약금액,계약상대자,키워드
상지여자중학교,2026K100001304250029,디지털 기반 선도학교 운영 AI에듀테크 구독료(수학),2026-04-13,,,에듀테크
양구여자고등학교,2026K100000453250098,AI 디지털 활용 선도학교 운영 AI에듀테크 지급,2026-04-13,,,에듀테크
인제초등학교,2026K100001534250153,[S2B]2026년 1차 AI 디지털 활용 선도학교-에듀테크 라이센스( 카훗 Kahoo외1,2026-04-10,,,에듀테크
설악중학교,2026K100000995250122,[S2B]AI.디지털선도학교 운영 에듀테크 구입비 지급,2026-04-10,,,에듀테크
동해광희중학교,2026K100000768340005,(s2b)AI・디지털 선도학교 에듀테크 구입(프리월린),2026-04-10,,,에듀테크
신남고등학교,2026K100000448250049,[S2B] [2026년 AI 디지털 활용 선도학교] 에듀테크(캔바 외 5종) 구독 및 라이,2026-04-10,,,에듀테크
인제초등학교,2026K100001534250146,[S2B]2026년도 1차 AI 디지털 활용 챗지피티5 챗GPT 플러스 라이선스 에듀테크,2026-04-10,,,에듀테크
인제초등학교,2026K100001534250155,[S2B]2026년도 AI 디지털 활용 선도학교-에듀테크 라이센스( 패들렛 골드) 구독료,2026-04-10,,,에듀테크
섬강초등학교,2026K100003975250202,AI디지털 활용 선도학교 운영 에듀테크(클래스팅 AI 수학외 5건) 이용권 구입,2026-04-10,,,에듀테크
산현초등학교,2026K100001361240001,2026 AI디지털 활용 선도학교 운영 에듀테크 라이센스 구입,2026-04-10,,,에듀테크
봄내초등학교,2026K100001852350030,[카드] 2026년 AI·디지털 활용 선도학교 AI 에듀테크 구독료 구입,2026-04-09,,,에듀테크
용암초등학교,2026K100002366240012,2026년 디지털 선도학교 에듀테크(제미나이 AI Pro 외 4종) 구독,2026-04-09,,,에듀테크
간성초등학교,2026K100000718250159,정보교과활동 AI.디지털 활용 선도학교 운영에 따른 에듀테크 구독료 지급,2026-04-09,,,에듀테크
비두초등학교,2026IMSI250163,2026학년도 AI 디지털 활용 연구학교 교육 운영 웹사이트 및 에듀테크(챗GPT 플러스,2026-04-09,,,에듀테크
인제초등학교,2026K100001534350001,[S2B]2026년 1학기 초등 3~4학년 수학 디지털 활용 선도학교 AI 에듀테크 구독료,2026-04-08,,,에듀테크
황지초등학교,2026K100001999250138,2026학년도 학습용 에듀테크 구입[오늘00),2026-04-08,,,에듀테크
사내고등학교,2026K100000423250037,[원인] 2026학년도 에듀테크(교육용 프로그램) 구입비(s2b),2026-04-07,,,에듀테크
비두초등학교,2026IMSI250144,2026학년도 AI 디지털 활용 연구학교 교육 운영 웹사이트 및 에듀테크(알공 영어) 구독,2026-04-07,,,에듀테크
비두초등학교,2026IMSI250149,2026학년도 AI 디지털 활용 연구학교 교육 운영 웹사이트 및 에듀테크(매쓰홀릭) 구독료,2026-04-07,,,에듀테크
비두초등학교,2026IMSI250150,2026학년도 AI 디지털 활용 연구학교 교육 운영 웹사이트 및 에듀테크(클래스팅 AI),2026-04-07,,,에듀테크
동해광희중학교,2026K100000768340004,(s2b)AI・디지털 선도학교 운영을 위한 에듀테크 구입(툰스퀘어),2026-04-07,,,에듀테크
비두초등학교,2026IMSI250145,2026학년도 AI 디지털 활용 연구학교 교육 운영 웹사이트 및 에듀테크(블루킷 플러스 외,2026-04-07,,,에듀테크
북평고등학교,2026K100000419250101,AI·디지털 활용 선도학교 AI·에듀테크 관련 도서 구입,2026-04-06,,,에듀테크
비두초등학교,2026IMSI250142,2026학년도 AI 디지털 활용 연구학교 교육 운영 웹사이트 및 에듀테크(캡컷 외 1종),2026-04-06,,,에듀테크
