계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
2024090054206,물품,"2024학년도 디지털기반 교육혁신 선도학교 운영, 하이러닝 운영 에듀테크프로그램 구매 계약",2024-09-05,10348000,경기도교육청 광문고등학교,광문고등학교,7530053,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090253C_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090054598,물품,AI인공 지능형과학교실 내부 환경공간구성및복도 환경게시판 제작 구입,2024-09-05,5874000,경기도교육청 경기도파주교육지원청 금촌초등학교,금촌초등학교,7681029,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240902621_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090076835,물품,2024년 다산고 실습기자재 응용소프트웨어 구입,2024-08-28,1567500,경기도교육청 다산고등학교,다산고등학교,7530608,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240902F7B_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090153645,물품,서울영원초  신나는 AI교실 물품 구매 계약,2024-09-09,33000000,서울특별시남부교육청 서울영원초등학교,서울영원초등학교,7041151,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090502D_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090155296,물품,AI교실 비품 구입(컴퓨터 외 17종),2024-09-09,14924400,전라남도나주교육청 노안중학교,노안중학교,8532014,중학교,전남광주통합특별시(전남),https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202409053B1_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090155452,물품,산본초 AI 투닝(디지털 선도학교 코스웨어)구입,2024-09-10,6490000,경기도교육청 경기도군포의왕교육지원청 산본초등학교,산본초등학교,7642021,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202409053FE_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090158010,물품,2024학년도 재능고 AI헬스케어학과 및 홍보부 홍보물품 구입,2024-09-10,16713300,인천광역시교육청 재능고등학교,재능고등학교,7310627,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240905921_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090188681,물품,상일고등학교 2024학년도 AI코스웨어 프로그램 구입,2024-09-12,9039220,경기도교육청 상일고등학교,상일고등학교,7530616,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240906586_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090224579,물품,2024년 삼일고등학교 AI빅데이터사업 인터렉티브 미디어파사드 구매 입찰 공고,2024-08-29,217420840,경기도교육청 삼일고등학교,삼일고등학교,7531427,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240906F36_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090235011,물품,2024년 금광초공간재구조화 스마트기가 구입(AI실물화상기),,9680000,경기도안성교육청 금광초등학교,금광초등학교,7761020,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024080D2C0_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090238457,물품,2024년 삼일고등학교 AI빅데이터사업 인터렉티브 미디어파사드 구매 입찰 공고,,217420840,경기도교육청 삼일고등학교,삼일고등학교,7531427,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240906F36_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090271166,물품,"2024학년도 디지털기반 교육혁신 선도학교 운영, 하이러닝 운영 에듀테크프로그램 구매 변경계약",2024-09-12,10348000,경기도교육청 광문고등학교,광문고등학교,7530053,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024090253C_1&ctrtChgOrd=01&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
2024090324137,물품,2024학년도 2학기 1차 인공지능반도체과 실험실습 소모품 구입 계약,2024-09-13,4759500,경기도교육청 세경고등학교,세경고등학교,7530947,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240909723_1&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y
