기관명,계약명,계약일,계약금액,계약상대자,키워드
대구세명학교,2024. 전반기 디지털 기반 교수학습지원을 위한 에듀테크 회원권 구입비 ...,2024-05-30,279000,주식회사 젠소프트,에듀테크
경북여자상업고등학교,휴먼아트커머스 수평공동체 에듀테크 구입,2024-05-30,160800,미리캔버스,에듀테크
대구세천초등학교,전반기 디지털 기반 교수학습 에듀테크 바우처 지원 사업 운영 물품(칼라...,2024-05-28,152210,주식회사 지마켓,에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 (멘티미 ...,2024-05-28,1093800,주식회사 모노플로우,에듀테크
대구방촌초등학교,디지털 기반 교육학습 에듀테크 앱 구입,2024-05-24,298000,패들렛,에듀테크
협성경복중학교,수평공동체 수업운영 에듀테크 프로그램(띵커벨) 구입,2024-05-24,180000,(주)아이스크림미디어,에듀테크
경신고등학교,2024. 전반기 디지털 기반 교수학습 에듀테크 바우처 도서 구입비 지급(2차),2024-05-23,60120,예스이십사주식회사,에듀테크
대구서평초등학교,"에듀테크 수업 활용을 위한 정보화기기(전자칠판, 태블릿컴퓨터) 구입비 ...",2024-05-23,7330000,주식회사 삼성엠피에스,에듀테크
월배중학교,2024. 영어과 에듀테크 활용수업을 위한 라이센스(플랭 프리미엄) 구입,2024-05-22,1200000,주식회사 플랭,에듀테크
대구옥포초등학교,2024학년도 에듀테크 활용 교육을 위한 프로그램 구입비 지급,2024-05-22,1047000,홍경아,에듀테크
대구매동초등학교,디지털 연구학교 운영을 위한 에듀테크 구입(투닝)비 지급,2024-05-21,3219540,주식회사 툰스퀘어 (Toonsquare),에듀테크
대구매동초등학교,디지털 연구학교 운영을 위한 에듀테크 구입(트라이디스),2024-05-21,3000000,(주)트라이디스,에듀테크
효성여자고등학교,동아리활동 에듀테크 활용 교육용 앱 구입비(ChatGPT Team 연간 플랜),2024-05-21,919858,OPENAI,에듀테크
대구도림초등학교,"(디지털선도학교)패들렛, 자작자작 에듀테크 구입",2024-05-20,1612000,테크빌교육(티처몰),에듀테크
새론중학교,교과형(교과융합) 전문학습공동체 에듀테크활용 프로그램 이용료 지급,2024-05-17,49000,(주)리아모어소프트,에듀테크
대구팔공중학교,(초)2024학년도 창의적체험활동동아리(스펀지 에듀테크부) 물품(인공지능 ...,2024-05-16,975660,지마켓글로벌 유한책임회사,에듀테크
경화여자고등학교,2024학년도 일본어 수업 활용 에듀테크 구입,2024-05-16,240000,주식회사클래스카드,에듀테크
경북여자상업고등학교,2학년 수평공동체 에듀테크프로그램 구입,2024-05-11,160800,미리캔버스,에듀테크
대구만촌초등학교,에듀테크 소프트웨어(패들렛) 구입 대금 지급,2024-05-10,2175000,주식회사 리퓨터,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털 활용 수업을 위한 에듀테크 구독비,2024-05-10,228000,박성숙,에듀테크
대구공업고등학교,[수평공동체] 교과형(에듀테크) 퀴즈앤 이용권 구매,2024-05-10,396000,주식회사 소프트앤,에듀테크
대구보건고등학교,[디지털 교육혁신 선도학교] 디지털활용 수업을 위한 에듀테크 구독비 품의,2024-05-09,258000,강인경,에듀테크
대구남덕초등학교,2024학년도 IB PYP 프로그램 운영 에듀테크 계정 구입 비용,2024-05-09,1935000,티처몰(키즈티처몰),에듀테크
대구삼덕초등학교,2024 디지털 기반 교육혁신 선도학교 운영을 위한 에듀테크 도구 구입,2024-05-08,2065750,(주)아이스크림미디어,에듀테크
대구테크노초등학교,디지털 기반 교육혁신 선도학교 에듀테크 SW(패들렛스쿨) 구입비 지급,2024-05-07,3870000,주식회사 모노플로우,에듀테크
월서중학교,[S2B] 페들렛 프로그램구입(예술교과 에듀테크 활용),2024-05-07,580000,주식회사 리퓨터,에듀테크
대구테크노초등학교,디지털 기반 교육혁신 선도학교 에듀테크 SW(미리캠버스) 구입비 지급,2024-05-07,1502000,제이로이,에듀테크
경북여자상업고등학교,퐁당상업 수평공동체 에듀테크 구입,2024-05-04,160800,미리캔버스,에듀테크
