회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2023,남주고등학교,남주고등학교 본관 주변 수목전지 및 잡목 제거 사업 발주,2024-02-27,4482900,1인수의,주식회사 토상조경,(전수)
2023,토산초등학교,정보보안 필터 구입,2024-02-27,1840000,1인수의,주식회사 해피넷,(전수)
2023,서귀포중학교,교문 입구 소나무 전정 등 작업 실시,2024-02-27,2277000,1인수의,목산원,(전수)
2023,풍천초등학교,(원인)행정실 프린터 토너 구입,2024-02-27,1614000,1인수의,(주) 해피넷,(전수)
2023,재릉초등학교,냉난방기 종합세척,2024-02-27,1180000,1인수의,하이엠솔루텍주식회사 제주센터,(전수)
2023,재릉초등학교,도서관 및 보건실 스카시간판 제작,2024-02-27,3000000,1인수의,미성광고,(전수)
2023,사계초등학교,정기연주회 대형 사진 및 액자 구입,2024-02-27,1000000,1인수의,나무섬스튜디오,(전수)
2023,월랑초등학교,학교 본관동 폐기물(폐품 및 폐잡재) 처리 용역 실시,2024-02-27,1775400,1인수의,삼다종합용역,(전수)
2023,외도초등학교,본관 5층 교실 블라인드 구입 설치,2024-02-27,4279000,1인수의,(주)주원산업,(전수)
2023,오라초등학교,유치원 학습준비물 구입,2024-02-27,1656700,1인수의,아이꿈터,(전수)
2023,서귀서초등학교,전산 소모품 잉크 및 토너 구입,2024-02-27,2465500,1인수의,(주)코리아정보,(전수)
2023,신광초등학교,2023학년도 유치원 바닥난방 철거 및 재설치 보수공사,2024-02-27,2802000,1인수의,에코웰에너텍,(전수)
2023,동광초등학교,신학기 준비를 위한 물품 이설 및 폐기물 처리 용역,2024-02-27,2500000,1인수의,원기업,(전수)
2023,대정초등학교,교내 각 실별 표찰 제작 및 설치,2024-02-27,2115000,1인수의,MVP스포츠광고,(전수)
2023,노형초등학교,2024학년도 유치원 입학식 물품 구입(무대장식 및 포토존),2024-02-27,1000000,1인수의,파티하라,(전수)
2023,도순초등학교,정보보안 필터 구입,2024-02-27,1386000,1인수의,주식회사 해피넷,(전수)
2023,동홍초등학교,2024 입학식 물품 구입,2024-02-27,1451800,1인수의,주식회사 신동아문구,(전수)
2023,한마음초등학교,교육활동 나눔 실천 운영 물품(에코백) 구입,2024-02-27,2450250,1인수의,주식회사 미래즈,(전수)
2023,제주중앙중학교,체육관(다목적강당) LED투광기 및 원격조명릴 추가 구입 교체,2024-02-27,10527220,1인수의,주식회사 대은,(전수)
2023,제주중앙중학교,축구부 훈련 용품 구입,2024-02-27,2421500,1인수의,우주스포츠,(전수)
2023,제주중앙중학교,학생 인권 관련 수업 및 활동 도서 구입,2024-02-27,1916100,1인수의,(주)한라서적타운,(전수)
2023,하귀초등학교,복사용지(A4) 및 화장실 용품 구입,2024-02-27,4245000,1인수의,제주특별자치도 장애인생산품판매시설,(전수)
2023,납읍초등학교,(카드)유치원 난방용 등유 구입,2024-02-27,1080000,1인수의,애월농협,(전수)
2023,성산중학교,(카드)2024학년도 교육과정 수립 주간 및 새학기 준비기간 워크숍 교직원 ...,2024-02-27,1372680,1인수의,아바이순대,(전수)
2023,제주중앙고등학교,보통과교무실 학생지원부실 도장공사 지출,2024-02-27,1056000,1인수의,(주)영일기업,(전수)
2023,한라중학교,행정실 PC 정보보호 필름 구입,2024-02-27,1100500,1인수의,주식회사 엠비에스,(전수)
2023,제주중앙고등학교,석면함유시설물 개선사업에 따른 본관동 체육관 석면철거 마감전기공사(...,2024-02-27,6004000,1인수의,제주지방조달청,(전수)
2023,한림고등학교,교내 도장작업 실시,2024-02-27,1513000,1인수의,서호건설이앤씨주식회사,(전수)
2023,제주여자상업고등학교,상수도 누수탐지 및 누수배관 수리,2024-02-27,2970000,1인수의,한길누수,(전수)
2023,오현고등학교,A4복사용지 구입,2024-02-27,1300000,1인수의,제주페이퍼몰,(전수)
2023,신성여자고등학교,2024학년도 학생용 교과서 구입,2024-02-27,71171270,1인수의,주주교과서,(전수)
2023,이도초등학교,2024학년도 유치원 입학식 행사용품(포토존외 3종) 구입,2024-02-27,1300000,1인수의,이레오라풍선,(전수)
2023,남녕고등학교,2023학년도 발간실 용지 구입(10회),2024-02-27,3894000,1인수의,제주페이퍼몰,(전수)
2023,남녕고등학교,2023학년도 화장지 구입(12회),2024-02-27,2360000,1인수의,(주)유한D&S,(전수)
2023,영평초등학교,2024학년 신학기 사무용품 구입,2024-02-27,1185500,1인수의,알파 제주아라점,(전수)
2023,한라초등학교,옥상 출입구 방화문 교체,2024-02-27,1520000,1인수의,주식회사 명성자동문,(전수)
2023,제주여자고등학교,학교 운동장 모래포설 작업 용역,2024-02-27,1150000,1인수의,주식회사 산들나무병원,(전수)
2023,도리초등학교,유치원 입학식 풍선장식 구입,2024-02-27,1200000,1인수의,채움 커뮤티케이션,(전수)
