회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,인천금곡초등학교,1인수의,물품,2026학년도 초등IB관심학교 운영 관련 에듀테크 SW 구입,2026-06-08,420000,주식회사 젭,에듀테크
2026,임학중학교,1인수의,물품,AI 활용 서논술형 평가를 위한 에듀테크 소프트웨어 구입,2026-06-08,792000,주식회사 데이터드리븐,에듀테크
2026,인천한별초등학교,1인수의,물품,AI 디지털 선도학교 운영을 위한 에듀테크(ZEP) 구독권 구입,2026-06-05,2000000,주식회사 젭,에듀테크
2026,북인천여자중학교,1인수의,물품,(카드)[AI]2026년 AI융합교육 에듀테크 라이센스 구입(수업용),2026-06-05,172550,ANTHROPIC,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드](AI디지털 활용 선도학교) 에듀테크 활용 수업 연구회 전학공 디지털 교구 구입,2026-06-05,297000,(주)아이스크림미디어,에듀테크
2026,인천초은중학교,1인수의,물품,[목적] 2026 읽걷쓰 수업평가 실천교사 에듀테크 플랫폼 구입,2026-06-04,846400,올아이피정보통신 주식회사,에듀테크
2026,인천인동초등학교,1인수의,물품,2026 읽걷쓰 출판지원 에듀테크 물품 제작 구입,2026-06-04,211310,테크빌교육(티처몰),에듀테크
2026,인천연일학교,1인수의,물품,읽걷쓰AI 정책학교 에듀테크(클링AI) 구독(S2B),2026-06-04,150000,리프레쉬업,에듀테크
2026,인천부개서초등학교,1인수의,물품,2026학년도 AI코스웨어 및 에듀테크 구입(토도한글),2026-06-02,1458000,(주)아이스크림미디어,에듀테크
2026,인천석천초등학교,1인수의,물품,[카드/6.1.] 2026학년도 AI중점학교 운영을 위한 에듀테크 구입비 지급,2026-06-01,3226900,(주)아이스크림미디어,에듀테크
2026,인화여자중학교,1인수의,물품,2026학년도 에듀테크 활용 교육 운영 캡컷 사용료 납부,2026-06-01,220000,(주)아이젠테크,에듀테크
2026,인천서면초등학교,1인수의,물품,에듀테크 활용교육 물품 구입비,2026-06-01,62160,쿠팡(주),에듀테크
2026,인화여자중학교,1인수의,물품,2026학년도 에듀테크 활용 교육 운영 그래머리 사용료 납부,2026-06-01,160000,로그테크,에듀테크
2026,인천연일학교,1인수의,물품,읽걷쓰AI 정책학교 에듀테크(라포라포) 구독(S2B),2026-06-01,165000,(주)큐리어드,에듀테크
2026,인천동양중학교,1인수의,물품,2026학년도 에듀테크 플랫폼 구입,2026-05-29,73440,인천동양중학교,에듀테크
2026,신송고등학교,1인수의,용역,2026학년도 디지털 선도학교 에듀테크 연간 이용권 구입(투닝),2026-05-29,2800000,툰스퀘어 주식회사,에듀테크
2026,신송고등학교,1인수의,용역,2026학년도 디지털 선도학교 에듀테크 연간 이용권 구입(클래스카드 pro),2026-05-29,610000,아이티존(주),에듀테크
2026,인천청람중학교,1인수의,용역,에듀테크 활용 수업을 위한 소프트웨어 구입[리딩스타],2026-05-29,1500000,리딩스타(주),에듀테크
2026,인천신촌초등학교,1인수의,물품,2026학년도 초등 교육·교과 연구지원단 에듀테크 구입(S2B구매),2026-05-29,280000,주식회사 교육의정석,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드]2026학년도 사회정서 AI에듀테크 전학공 5월 활동 공유협의회,2026-05-29,143100,담소담,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드](AI디지털 활용 선도학교) 에듀테크(6학년 아트봉봉) 라이선스 구입,2026-05-28,141000,(주)아이스크림미디어,에듀테크
2026,인천해송고등학교,1인수의,물품,AI·디지털 활용 선도학교 운영을 위한 에듀테크S/W(제미나이) 연간사용권 구매,2026-05-27,19000000,주식회사 아이코어이앤씨,에듀테크
2026,인천하정초등학교,1인수의,용역,에듀테크 활용교육 운영을 위한 SW 구입,2026-05-28,627000,(주)에이마스,에듀테크
2026,인천연일학교,1인수의,물품,AI·디지털 활용 선도학교 에듀테크(발달장애인용 VR 프로그램) 구입,2026-05-28,2350000,주식회사 컨텐츠다,에듀테크
2026,인천연일학교,1인수의,물품,읽걷쓰AI 정책학교 에듀테크(클로드) 구독(S2B),2026-05-28,2240000,나이스쿨,에듀테크
2026,인천청람중학교,1인수의,물품,에듀테크 활용 수업을 위한 소프트웨어 구입[이음AI PLUS],2026-05-28,1344000,(주)화이트소프트,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드]AI 에듀테크 부스운영을 위한 안내판 구입,2026-05-27,133280,(주)이베이코리아(옥션/G마켓),에듀테크
2026,인천간재울초등학교,1인수의,물품,"[카드] 2026학년도 디지털교육자료(에듀테크-투닝, ZEP, 띵커벨) 구입",2026-05-27,2672500,주식회사 젭,에듀테크
2026,인천간재울초등학교,1인수의,물품,2026학년도 디지털교육자료(에듀테크-패들렛) 구입,2026-05-27,210000,주식회사 아이젠테크,에듀테크
