계약번호,구분,계약명,계약일,금액,수요기관,학교코드,급별,시도,상세URL,학교명,업체명
R26TE16028277,기술용역,전북인공지능고등학교 체육관 전면보수 건축공사 설계용역,2026-06-23,49138000,전북특별자치도교육청 전북인공지능고등학교,8321270,고등학교,전북특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01587623&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,전북인공지능고등학교,건축사사무소 해온
R26TE16028639,기술용역,2026년 백영고 창의소프트웨어캠프 체험활동 용역계약,2026-06-24,1760000,경기도교육청 백영고등학교,7530157,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01989026&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,백영고등학교,주식회사 미래와 상상
R26TE16029243,기술용역,2026학년도 AI중점학교 체험데이 AI건축 계약,2026-06-26,3000000,경기도연천교육청 군남중학교,7701004,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01998316&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,군남중학교,주식회사 창의체험
R26TE16029431,기술용역,2026학년도 AI중점학교 체험데이 로보해커톤 계약,2026-06-24,4000000,경기도연천교육청 군남중학교,7701004,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01998375&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,군남중학교,주식회사 로보라이즌
R26TE16029775,기술용역,[천안오성고] AI진로캠프 위탁 용역,2026-06-24,21676800,충청남도교육청 천안오성고등학교,8140246,고등학교,충청남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01994988&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,천안오성고등학교,아이비투어 주식회사
R26TE16032006,기술용역,2026학년도 충의중 1학년 진로체험(AI시대 디지털 세상에서의 진로탐색) 용역 계약,2026-06-24,4000000,경기도의정부교육청 충의중학교,7561013,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01993009&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,충의중학교,주식회사 어나더컴퍼니그룹
R26TE16033517,기술용역,2026학년도 대덕소프트웨어아미스터고등학교 희장인재소양교육 프로그램 위탁 용역,2026-06-24,17200700,대전광역시교육청 대덕소프트웨어마이스터고등학교,7430310,고등학교,대전광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01987973&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,대덕소프트웨어마이스터고등학교,주식회사 더드림컴퍼니
R26TE16035387,기술용역,2026학년도 여름방학 AI·SW 체험캠프 운영 용역,2026-06-24,2000000,경기도교육청 경기도광주하남교육지원청 광주송정초등학교,7692194,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01998878&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,광주송정초등학교,주식회사 에이블
R26TE16038066,기술용역,2026학년도 AI중점학교 체험데이 로보해커톤 계약,2026-06-24,4000000,경기도연천교육청 군남중학교,7701004,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01998375&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,군남중학교,주식회사 로보라이즌
R26TE16038226,기술용역,"단샘초 5,6학년 AI교육프로그램 운영 계약",2026-06-22,21687800,경기도교육청 경기도광주하남교육지원청 단샘초등학교,7692196,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01987823&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,단샘초등학교,코드스케치
