회계연도,기관명,계약방법,계약명,계약일,계약금액,계약상대자,키워드
2024,반안초등학교,1인수의,2024학년도 4분기 학습준비물 추가 구입비 지급,2024-12-30,1127550,다인문구샵,(전수)
2024,백양중학교,1인수의,2024학년도 음악과 1학생 1악기 구입,2024-12-30,1801000,주식회사 지마켓,(전수)
2024,보수초등학교,1인수의,2024학년도 학생 검진비용 지출,2024-12-30,1891770,바른병원,(전수)
2024,반안중학교,1인수의,"2024학년도 1,2학년 문화예술활동(생활소품 만들기) 운영을 위한 물품 구입",2024-12-30,2162400,네이버파이낸셜 주식회사,(전수)
2024,백양중학교,1인수의,2024학년도 과학과 실험실 안전용품 구입(S2B),2024-12-30,1306800,스쿨스24,(전수)
2024,반안초등학교,1인수의,스마트펜 구입비 지급,2024-12-30,1526000,주식회사 프리솔루션,(전수)
2024,무정초등학교,1인수의,2024학년도 감나무네 꿈동이들 학교문집 제작비 지출,2024-12-30,3499600,동아기획,(전수)
2024,모라초등학교,1인수의,배움터지킴이실 이전 및 학교시설물 정비 작업(S2B),2024-12-30,6483400,거광기업,(전수)
2024,모라초등학교,1인수의,배움터지킴이실 이전에 따른 전기 공사(S2B),2024-12-30,1830000,(주)더베스트이앤씨,(전수)
2024,명지가온유치원,2인이상수의,명지가온유치원 교재교구 등 물품 구입,2024-12-30,56844990,아름컴퍼니,(전수)
2024,모전중학교,1인수의,3학년 학습용 스마트 기기 초기화 작업비 및 충전기 수리비,2024-12-30,1986000,디케이(D.K)시스템,(전수)
2024,모전중학교,1인수의,3학년 진로연계교육비(2차)(매직버블프로그램 공연비) 지출,2024-12-30,2200000,(주)드림빌더,(전수)
2024,명호초등학교,1인수의,"신관 화장실 및 사랑1,2반, 통합1반 온수기 교체",2024-12-30,2387000,보일러대통령,(전수)
2024,영도제일중학교,1인수의,2024학년도 1학년 건강검진비 지급(영도병원),2024-12-30,4363620,영도병원,(전수)
2024,영도제일중학교,1인수의,2024년 영도윈드오케스트라 단체 가디건 구입,2024-12-30,1564000,주식회사 비지엠,(전수)
2024,영도제일중학교,1인수의,2024학년도 럭비부 동계강화훈련 운영물품 구입(가방),2024-12-30,2142000,올라운드,(전수)
2024,영도여자고등학교,1인수의,교육과정 설명회 및 진로진학 설명회 자료집 지급,2024-12-30,1800000,반석인쇄출판사,(전수)
2024,영도제일중학교,1인수의,2024학년도 럭비부 동계강화훈련 운영물품 구입(축구화),2024-12-30,2720800,롯데쇼핑(주) 광복점,(전수)
2024,영도여자고등학교,1인수의,2024학년도 2학년 학급 물품(달력)비 지급,2024-12-30,1719360,스냅스,(전수)
2024,신호중학교,1인수의,"2024학년도 2학기 학급운영비 지출(3-1, 3-2, 3-3, 3-4, 3-5, 3-6,",2024-12-30,2114100,네이버파이낸셜 주식회사,(전수)
2024,연동초등학교,1인수의,[원인-S2B] 그린스마트스쿨공사에 따른 전산장비 이전설치,2024-12-30,3600800,도원정보,(전수)
2024,여명중학교,1인수의,2024년 하반기 교원용 노트북 구매,2024-12-30,2940000,엘지전자 주식회사,(전수)
2024,여고초등학교,1인수의,"2024년 12월, 2025년 1월 식재료(친환경농산물) 구입",2024-12-30,14425400,금정구친환경농산물급식지원센터,(전수)
2024,여고초등학교,1인수의,2024년 12월 ~ 2025년 1월 식재료(직거래: 쌀) 구입,2024-12-30,4554000,가락농협미곡종합처리장,(전수)
2024,신천초등학교,1인수의,일반교실 바닥샌딩 및 바니쉬 도색 작업 실시,2024-12-30,10626000,태형건업,(전수)
2024,연일초등학교,1인수의,교내 CCTV 수리[S2B],2024-12-30,1512500,(주)케이씨엠솔루션,(전수)
2024,신천초등학교,1인수의,식판구입,2024-12-30,1820000,삼일통상,(전수)
2024,여고초등학교,1인수의,2024년 12월 ~ 2025년 1월 식재료(육류) 구입,2024-12-30,11097800,환인식품,(전수)
2024,양동초등학교,1인수의,5층 방과후교실 일반교실 전환 내부 정리 작업비 지급,2024-12-30,3000000,(주)예온디자인,(전수)
