학교,시도,도메인,링크문구,링크URL
고양국제고등학교,경기,www.bookrail.co.kr,누리미디어 전자책 서비스,http://www.bookrail.co.kr
고양국제고등학교,경기,www.dbpia.co.kr,DBpia,http://www.dbpia.co.kr
고양국제고등학교,경기,www.krpia.co.kr,한국의 지식콘텐츠,http://www.krpia.co.kr
고양국제고등학교,경기,ggghs.copykiller.com,Copy Killer,https://ggghs.copykiller.com/
고양신일초등학교,경기,www.goegy.kr,회원가입,https://www.goegy.kr/gysinil-e/sb/sbscrb/insertSbscrbInfo01.do?sbscrbCtx=gysinil-e
고양신일초등학교,경기,read365.edunet.net,독서로,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=고양신일초등학교&provCode=J10&neisCode=J100000978
고양신일초등학교,경기,www.ekape.or.kr,축산물원패스,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1288302920
고양신일초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
고양초등학교,경기,www.goegy.kr,회원가입,https://www.goegy.kr/koyang-e/sb/sbscrb/insertSbscrbInfo01.do?sbscrbCtx=koyang-e
고양초등학교,경기,www.ekape.or.kr,축산물이력번호,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1288300747
고양초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
고양한내초등학교,경기,www.goegy.kr,회원가입,https://www.goegy.kr/gyhn-e/sb/sbscrb/insertSbscrbInfo01.do?sbscrbCtx=gyhn-e
고양한내초등학교,경기,www.ekape.or.kr,축산물 이력번호 게시판,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1288304893
고양한내초등학교,경기,read365.edunet.net,우리학교 소장도서 찾기,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=고양한내초등학교&provCode=J10&neisCode=J100004858
고양한내초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
고양화수초등학교,경기,www.goegy.kr,회원가입,https://www.goegy.kr/hwasoo-e/sb/sbscrb/insertSbscrbInfo01.do?sbscrbCtx=hwasoo-e
고양화수초등학교,경기,www.ekape.or.kr,축산물 이력번호 표시,https://www.ekape.or.kr/kapecp/ui/kapecp/trust.jsp?searchKeyword=1288303399
고양화수초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
고양화수초등학교,경기,www.goemec.kr,미디어교육센터.png,https://www.goemec.kr
고정초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
고정초등학교,경기,www.ebs.co.kr,EBS.png,https://www.ebs.co.kr/main?NaPm=ct%3Dhf2bview%7Cci%3D0Gy1001FZzHfpCO600-M%7Ctr%3Dsa%7Cet%3Dhf3rbd2w%7Cba%3D1%2E0%7Caa%3D1%2E0%7Chk%3Db03c9555b13a8cdb2e0c58e6759281a4efcd510d
고정초등학교,경기,www.edunet.net,에듀넷.png,http://www.edunet.net/nedu/main/mainForm.do
곤지암초등학교,경기,www.goegh.kr,회원가입,https://www.goegh.kr/gonjiam-e/sb/sbscrb/insertSbscrbInfo01.do
공도중학교,경기,www.goean.kr,회원가입,https://www.goean.kr/gongdo-m/sb/sbscrb/insertSbscrbInfo01.do
공도초등학교,경기,gongdo.readinggate.com,리딩게이트,https://gongdo.readinggate.com/
과천율목초등학교,경기,www.goeay.kr,회원가입,https://www.goeay.kr/yulmok-e/sb/sbscrb/insertSbscrbInfo01.do
과천율목초등학교,경기,www.ebsi.co.kr,ban_05.gif,https://www.ebsi.co.kr/ebs/pot/poti/main.ebs
관양중학교,경기,www.goeay.kr,회원가입,https://www.goeay.kr/kwanyang-m/sb/sbscrb/insertSbscrbInfo01.do
관양중학교,경기,www.airkorea.or.kr,20171213103022.jpg,https://www.airkorea.or.kr/web/
관양중학교,경기,ilovewater.or.kr,20161115103113.gif,http://ilovewater.or.kr/web
관양중학교,경기,www.kpsg.or.kr,20161115103039.gif,https://www.kpsg.or.kr:53517/main_kor/index.php
관양중학교,경기,www.gov.kr,정부24.JPG,https://www.gov.kr/portal/main/nologin
관양초등학교,경기,www.goeay.kr,회원가입,https://www.goeay.kr/kwanyang-e/sb/sbscrb/insertSbscrbInfo01.do
관양초등학교,경기,www.airkorea.or.kr,20171213103022.jpg,https://www.airkorea.or.kr/web/
관양초등학교,경기,ilovewater.or.kr,20161115103113.gif,http://ilovewater.or.kr/web
관양초등학교,경기,www.kpsg.or.kr,20161115103039.gif,https://www.kpsg.or.kr:53517/main_kor/index.php
관양초등학교,경기,www.gov.kr,정부24.JPG,https://www.gov.kr/portal/main/nologin
관인초등학교,경기,www.goepc.kr,회원가입,https://www.goepc.kr/kwanin-e/sb/sbscrb/insertSbscrbInfo01.do?sbscrbCtx=kwanin-e
관인초등학교,경기,www.goedu.kr,,https://www.goedu.kr/bbs/2/view/55
관인초등학교,경기,read365.edunet.net,독서로.png,https://read365.edunet.net/PureScreen/SchoolSearch?schoolName=%EA%B4%80%EC%9D%B8%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90&amp;provCode=J10&amp;neisCode=J100004177
광남중학교,경기,www.goegm.kr,회원가입,https://www.goegm.kr/knam-m/sb/sbscrb/insertSbscrbInfo01.do
광남중학교,경기,www.toctocmath.kr,6900b5245ddac330004ae1eabc7ab746.png,https://www.toctocmath.kr/
광남중학교,경기,survey.panel.co.kr,e23b4bb5be76a012911f0775badca6c4.jpg,https://survey.panel.co.kr/Team/BS/80129/login.asp
광남중학교,경기,www.edunet.net,edunet.jpg,https://www.edunet.net/
광남중학교,경기,schoolaw.lawinfo.or.kr,schoolaw.jpg,http://schoolaw.lawinfo.or.kr/
광남중학교,경기,www.greeninet.or.kr,greeninet.jpg,http://www.greeninet.or.kr/
광남중학교,경기,www.dokdohistory.com,dokdo.jpg,http://www.dokdohistory.com/
광남중학교,경기,www.kdream.or.kr,31990c8585bd3776d06c80c9df39ccb0.jpg,https://www.kdream.or.kr:446/
광남중학교,경기,www.youthlabor.co.kr,e1e4ad1fb1d952cc58e2b2564ece6048.jpg,https://www.youthlabor.co.kr/
