계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL,업체명
2024030459474,기술용역,2024학년도 서울관악초 AI 교실 프로그램 운영 계약,2024-03-22,20000000,서울특별시동작교육청 서울관악초등학교,서울관악초등학교,7132081,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240314C96_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 세한스텐다드
2024030459851,기술용역,2024학년도 IT콘텐츠과 운영 프로그램(어도비 라이선스) 사용 계약,2024-03-25,5100000,세종특별자치시교육청 세종장영실고등학교,세종장영실고등학교,9300266,고등학교,세종특별자치시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240314D95_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사데이타큐브
2024030460065,기술용역,2024 방과후학교 관리플랫폼 계약,,660000,서울특별시중부교육청 서울흥인초등학교,서울흥인초등학교,7061090,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240314E22_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,로데브(주)
2024030460459,기술용역,2024년 신나는 AI교실 운영,2024-03-28,14958000,서울특별시성북교육청 서울정릉초등학교,서울정릉초등학교,7121331,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240314F38_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)와이즈교육
2024030460711,기술용역,2024년 3~6학년 알공(영어 AI 코스웨어) 이용권 계약,2024-03-26,4320000,경기도김포교육청 양곡초등학교,양곡초등학교,7771030,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240314FB5_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,(주)디엔소프트
2024030501878,기술용역,2024년 AI 정보교육 중심학교 운영 교구대여 계약,2024-03-25,10800000,인천광역시교육청 인천광역시동부교육지원청 인천연송초등학교,인천연송초등학교,7341277,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403163E6_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,사단법인한국디지털콘텐츠협회
2024030502993,기술용역,1학년 AI기반 진로탐색캠프 위탁용역,2024-03-25,5000000,제주특별자치도교육청 중문고등학교,중문고등학교,9290128,고등학교,제주특별자치도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=2024031667A_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,메이저맵 주식회사
2024030503526,기술용역,군포양정초 2024학년도 학교특성화 코딩교육 교구대여 계약,2024-03-26,6040000,경기도교육청 경기도군포의왕교육지원청 군포양정초등학교,군포양정초등학교,7642008,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=202403167A3_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 한교육
2024030503721,기술용역,2024학년도 SW DeaCO 융합인재 양성 교육 용역 게약,2024-03-26,5400000,대구광역시남부교육청 대구대곡초등학교,대구대곡초등학교,7271087,초등학교,대구광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240316830_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 미래엔에듀파트너
2024030544816,기술용역,2024학년도 수락초 방과후학교 코디마스터 라이선스 사용,2024-03-26,660000,서울특별시북부교육청 서울수락초등학교,서울수락초등학교,7051134,초등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240317FBC_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,로데브(주)
2024030545124,기술용역,디지털 선도학교 정보교과 AI코스웨어 구입,,7000000,울산광역시강남교육청 삼정초등학교,삼정초등학교,7501086,초등학교,울산광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=20240317FEF_5&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,주식회사 엘리스그룹
