계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-3375e6778caa,물품,알툴즈 소프트웨어 구입,2015-06-11,269500,세종특별자치시교육청 아름중학교,아름중학교,(주)인포메이드,9300116,중학교,세종특별자치시,
-b029e7e23540,물품,알툴즈통합팩 소프트웨어 구매,2015-06-08,152900,세종특별자치시교육청 양지고등학교,양지고등학교,(주) 인포메이드,9300179,고등학교,세종특별자치시,
-46a497b3d270,물품,사무용 소프트웨어(OMRSCAN 솔루션) 조달 구입,2015-06-03,2640000,세종특별자치시교육청 양지고등학교,양지고등학교,오엠알스캔(주),9300179,고등학교,세종특별자치시,
-14ac1ae3c29c,물품,소프트웨어(알툴즈 통합팩) 구입비 지급,2015-06-01,207900,세종특별자치시교육청 한솔고등학교,한솔고등학교,(주)인포메이드,9300058,고등학교,세종특별자치시,
-80529fcbe4a6,물품,2015 상반기 소프트웨어 구입(넷클래스),2015-06-01,1300000,세종특별자치시교육청 연양초등학교,연양초등학교,주식회사 와이비네트웍스,9300121,초등학교,세종특별자치시,
-c6fa491eb109,물품,2015 상반기 소프트웨어 구입(알툴즈),2015-06-01,269500,세종특별자치시교육청 연양초등학교,연양초등학교,(주)인포메이드,9300121,초등학교,세종특별자치시,
-7312873ef6e1,물품,알툴즈 교육 및 업무용 소프트웨어 라이센스 구입,2015-05-28,269500,세종특별자치시교육청 한솔초등학교,한솔초등학교,주식회사 인포메이드,9300087,초등학교,세종특별자치시,
-9984fa2a4254,물품,2015년 알툴즈통합팩 소프트웨어 비용지급,2015-05-26,152900,세종특별자치시교육청 금남초등학교,금남초등학교,(주)인포메이드,9300036,초등학교,세종특별자치시,
-ae5b733abb3c,물품,2015학년도 컴퓨터실 운영을 위한 소프트웨어(클래스M) 구입,2015-04-28,988000,세종특별자치시교육청 고운중학교,고운중학교,주식회사 와이비네트웍스,9300174,중학교,세종특별자치시,
-cb42a9d8d105,물품,2015학년도 증축동 컴퓨터실 시스템관리소프트웨어 구입,2015-04-14,1725260,세종특별자치시교육청 도담초등학교,도담초등학교,대전지방조달청,9300105,초등학교,세종특별자치시,
-8319fd7da75a,물품,2015학년 학년교육과정 편성 운영을 위한 소프트웨어 구입,2015-04-10,190000,세종특별자치시교육청 연서초등학교,연서초등학교,이지에듀정보,9300031,초등학교,세종특별자치시,
-51037606def8,물품,한글과컴퓨터 소프트웨어 제품 계약,2015-04-10,806850,세종특별자치시교육청 으뜸초등학교,으뜸초등학교,(주)포스텍,9300167,초등학교,세종특별자치시,
-36b4ae138e41,물품,교육정보화실 운영 소프트웨어 구입,2015-04-09,1290300,세종특별자치시교육청 양지중학교,양지중학교,(주)포스텍,9300175,중학교,세종특별자치시,
-692e240231b0,물품,2015년 한글과 컴퓨터 소프트웨어 구입비 지급,2015-04-06,2258030,세종특별자치시교육청 다빛초등학교,다빛초등학교,(주)포스텍,9300171,초등학교,세종특별자치시,
-53b28c3065e9,물품,교육기관용 한글과 컴퓨터 소프트웨어 사용 계약,2015-04-03,806850,세종특별자치시교육청 세종과학예술영재학교,세종과학예술영재학교,(주)포스텍,9300181,고등학교,세종특별자치시,
-1fb5f3360b83,물품,한글(소프트웨어) 라이센스 계약,2015-04-03,1290300,세종특별자치시교육청 늘봄초등학교,늘봄초등학교,(주)포스텍,9300172,초등학교,세종특별자치시,
-7647621d4893,물품,컴퓨터실 시스템관리 소프트웨어 구입비 지급,2015-04-03,198000,세종특별자치시교육청 아름고등학교,아름고등학교,대전지방조달청,9300117,고등학교,세종특별자치시,
-4c651e8961bf,물품,2015 한글과 컴퓨터 소프트웨어 제품(한/글)라이선스 계약,2015-04-02,1290300,세종특별자치시교육청 고운중학교,고운중학교,(주)포스텍,9300174,중학교,세종특별자치시,
-79d68cdb9a8d,물품,소프트웨어교육 정책연구학교 현수막 구입,2015-04-01,44000,세종특별자치시교육청 도담초등학교,도담초등학교,천일사,9300105,초등학교,세종특별자치시,
-34447e87159b,물품,2015 한글과컴퓨터 소프트웨어 제품 계약,2015-03-30,2258030,세종특별자치시교육청 종촌중학교,종촌중학교,(주)포스텍,9300176,중학교,세종특별자치시,
-051c06bba984,물품,컴퓨터실 하드복구 및 원격관리솔루션 소프트웨어 구입,2015-03-23,2120000,세종특별자치시교육청 양지고등학교,양지고등학교,(주)세종아이티,9300179,고등학교,세종특별자치시,
-d8d68363b441,물품,2015 한글과컴퓨터 소프트웨어 구입,2015-03-23,1290300,세종특별자치시교육청 양지고등학교,양지고등학교,(주)포스텍,9300179,고등학교,세종특별자치시,
-10fb62662adb,물품,학교메신져(쿨메신져 젠투) 소프트웨어 구입,2015-03-23,330000,세종특별자치시교육청 연남초등학교,연남초등학교,(주)위포,9300034,초등학교,세종특별자치시,
-a43e07a44d18,물품,학년 교육과정 운영을 위한 소프트웨어 구입(쿨메신저),2015-03-20,330000,세종특별자치시교육청 연양초등학교,연양초등학교,(주)위포,9300121,초등학교,세종특별자치시,
-685425493dfb,물품,학년 교육과정 운영을 위한 소프트웨어 구입(이지에듀),2015-03-20,250000,세종특별자치시교육청 연양초등학교,연양초등학교,이지에듀정보,9300121,초등학교,세종특별자치시,
-b555dafefd31,물품,컴퓨터실 소프트웨어 구입,2015-03-13,844800,세종특별자치시교육청 장기중학교,장기중학교,포아센시스템,9300051,중학교,세종특별자치시,
-7412b71c7e6a,물품,메신저 소프트웨어 구입 경비,2015-03-11,330000,세종특별자치시교육청 종촌중학교,종촌중학교,(주)위포,9300176,중학교,세종특별자치시,
-8daa540df438,물품,2015학년도 이지에듀 소프트웨어 구입,2015-03-06,190000,세종특별자치시교육청 한솔초등학교,한솔초등학교,이지에듀정보,9300087,초등학교,세종특별자치시,
-04b8b2abb81a,물품,한글과 컴퓨터 소프트웨어 제품(한/글) 구입,2015-03-01,806850,세종특별자치시교육청 두루중학교,두루중학교,(주)포스텍,9300173,중학교,세종특별자치시,
-661f74b51f5d,물품,"(카드,2.26.)2014 교육정보부 소프트웨어(JAVA CD) 구입",2015-02-26,105000,세종특별자치시교육청 세종여자고등학교,세종여자고등학교,(주)아이비컴퓨터 교육닷컴,9300185,고등학교,세종특별자치시,
-582d5a49f529,물품,"(카드,2.26.)2014 교육정보부 소프트웨어(EBS 역사채널 DVD) 구입",2015-02-26,100000,세종특별자치시교육청 세종여자고등학교,세종여자고등학교,EBS 미디어,9300185,고등학교,세종특별자치시,
-afdd7a8621a6,물품,"2015년 소프트웨어 재계약(MS EES, Windows server standard 20",2015-01-22,3416020,세종특별자치시교육청 미르초등학교,미르초등학교,주식회사 제이아이티,9300119,초등학교,세종특별자치시,
-7b25355f5cc2,물품,[카드] 수학체험재료 및 소프트웨어 구입비 지급(아이클레이),2015-01-06,159000,세종특별자치시교육청 도담중학교,도담중학교,(주)이베이코리아(G마켓),9300106,중학교,세종특별자치시,
-1d3fc0f195cd,물품,[카드]수학체험재료 및 소프트웨어 구입비 지급(스피어랜드 DVD외 3종),2015-01-06,760000,세종특별자치시교육청 도담중학교,도담중학교,(주)수학사랑,9300106,중학교,세종특별자치시,
-7b85c303054d,물품,돌봄교실 교육자료(소프트웨어 보니쑥쑥12) 구입(조달청),2014-12-31,2328000,세종특별자치시교육청 감성초등학교,감성초등학교,주식회사 보니아라,9300037,초등학교,세종특별자치시,
