계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL,태그
R25TE01520861,기술용역,2025학년도 부림초 학생 귀가 안전 관련 코디마스터 플랫폼 사용 계약 ,2025-02-26,1112760,경기도안양교육청 부림초등학교,부림초등학교,로데브(주),7569025,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00220687&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01521847,기술용역,코디마스터 프로그램 사용 계약 체결,2025-02-27,1056000,경기도교육청 경기도구리남양주교육지원청 하랑초등학교,하랑초등학교,로데브(주),7652318,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00225462&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01522122,기술용역,2025학년도 설봉중 스마트공지시스템(e알리미) 용역 계약,2025-02-26,1584000,경기도이천교육청 설봉중학교,설봉중학교,주식회사 이웃닷컴,7741008,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00210838&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01522650,기술용역,예봉중 학생용 스마트기기 크롬북 수리,2025-02-26,8800000,경기도교육청 경기도구리남양주교육청 예봉중학교,예봉중학교,스피드컴프라자,7652164,중학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00222328&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
R25TE01524063,기술용역,2025학년도 e알리미 사용 계약,2025-03-01,1188000,경기도교육청 경기도화성오산교육지원청 제암초등학교,제암초등학교,주식회사 이웃닷컴,7679055,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00228790&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01524100,기술용역,2025학년도 토평고등학교 슈퍼스쿨 비대면 학사관리 통합 솔루션  구입 전자계약,2025-02-24,6600000,경기도교육청 토평고등학교,토평고등학교,주식회사 슈퍼스쿨,7530527,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00202794&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,슈퍼스쿨
R25TE01525249,기술용역,2025학년도 e알리미 용역 계약,2025-02-26,1188000,경기도용인교육청 마북초등학교,마북초등학교,주식회사 이웃닷컴,7751078,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00223001&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01525626,기술용역,창현초 2025학년도 방과후학교 운영관리 플랫폼 코디마스터 라이선스 계약,2025-02-27,818400,경기도교육청 경기도구리남양주교육지원청 창현초등학교,창현초등학교,로데브(주),7652125,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00212822&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
R25TE01525801,기술용역,2025학년도 e알리미 문자서비스 용역,2025-02-27,1980000,경기도교육청 용호고등학교,용호고등학교,주식회사 이웃닷컴,7530104,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00146454&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,e알리미
R25TE01525804,기술용역,2025학년도 정보화유지보수 및 프린터 임대 계약,2025-02-27,11232000,인천광역시동부교육청 인천함박초등학교,인천함박초등학교,주식회사 아라정보,7341063,초등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00204570&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,기기(PC·태블릿·전자칠판 등)
R25TE01525967,기술용역,금곡고 2025학년도  학내망 및 정보화기자재 유지보수 용역 계약,2025-02-26,3564000,경기도교육청 금곡고등학교,금곡고등학교,한별오에이(OA),7530629,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00164791&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,인프라(교실·설비)
R25TE01526612,기술용역,송원초 2025학년도 방과후학교 코디마스터 프로그램 사용 계약,2025-02-28,660000,경기도교육청 경기도수원교육지원청 송원초등학교,송원초등학교,로데브(주),7541140,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00228951&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y,코디마스터
