기관명,계약명,계약일,계약금액,계약상대자,키워드
울산산업고등학교,(미래) 2025학년도 농업과 코딩의 만남(기본) 프로그램 재료비 지출,2025-10-23,3200000,아워즈팜,코딩
천상초등학교,2025학년도 AI로봇코딩교육,2025-10-16,1500000,주식회사 크리플레이(cre-play),코딩
월평유치원,2025학년도 10월 방과후과정 코딩 교재비 지출,2025-10-14,1830000,리틀브레인,코딩
상북유치원,2025학년도 방과후과정반 9월 특성화 재료비(창의블럭 및 코딩)지출,2025-10-02,1212000,바른가치,코딩
내황유치원,"2025년 10월 3,4,5세 코딩 교재 구입",2025-09-19,1560000,아이교육,코딩
월평유치원,2025학년도 9월 방과후과정 코딩교재비 지출,2025-09-19,1830000,리틀브레인,코딩
내황유치원,"2025년 9월 3,4,5세 코딩 교재 구입",2025-09-12,1560000,아이교육,코딩
농소초등학교,2025학년도 유치원 방과후과정반 코딩활동 9 ·10월 행사비 지급,2025-09-05,1176000,아이교육,코딩
동평초등학교,2025학년도 유치원 특성화 코딩교구 구입,2025-09-05,5220000,캐슬교육,코딩
상북유치원,2025학년도 방과후과정반 8월 특성화 재료비(창의블럭 및 코딩)지출,2025-09-02,1212000,바른가치,코딩
약사가온유치원,2025학년도 8월 여름방학 코딩 강사비 지급,2025-09-01,2730000,바른가치교육,코딩
두왕초등학교,2025학년도 AI·정보교육 중심학교 수업 물품(코딩로봇 등) 구입,2025-08-29,3291900,(주)아이스크림미디어,코딩
월평유치원,"2025학년도 7,8월 방과후과정 코딩 교재비 지출",2025-08-26,3660000,리틀브레인,코딩
상북유치원,2025학년도 방과후과정반 7월 특성화 재료비(창의블럭 및 코딩) 지출,2025-07-29,1212000,바른가치,코딩
태화초등학교,"2025학년도 유치원 7월 교재 구입 (역사독서, 코딩, 블럭, 수놀이）",2025-07-17,1561500,아이들의세상(ulsan),코딩
화정초등학교,"2025학년도 유치원 3~7월 코딩, 과학 교재 구입비 지출",2025-07-16,1302000,아이들의세상,코딩
농소초등학교,"2025학년도 유치원 방과후과정반 코딩활동 7, 8월 행사비 지급",2025-07-14,1218000,아이교육,코딩
상북유치원,2025학년도 방과후과정반 6월 특성화 재료비(창의블럭 및 코딩)지출,2025-07-08,1212000,바른가치,코딩
옥현유치원,2025학년도 7~10월 코딩 교재 구입,2025-06-30,4949000,키즈에듀,코딩
내황유치원,"2025년 7월 4,5세 코딩 교재 구입",2025-06-24,1140000,아이교육,코딩
울산행복학교,2025 장애학생미래교육 역량강화를 위한 정보화 기기(코딩로봇루나) 구입(학교장터),2025-06-24,1980000,하이드림,코딩
상북유치원,2025학년도 방과후과정반 5월 특성화 재료비(창의블럭 및 코딩)지급,2025-06-05,1212000,바른가치,코딩
농소초등학교,"2025학년도 유치원 방과후과정반 코딩활동 5, 6월 행사비 지급",2025-06-02,1218000,아이교육,코딩
옥현유치원,2025학년도 6월 코딩 교재 구입,2025-06-02,1111000,키즈에듀,코딩
내황유치원,"2025년 6월 4,5세 코딩 교재 구입",2025-06-02,1140000,아이교육,코딩
