회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2025,새움중학교,1인수의,물품,영어과 에듀테크 교육 프로그램(클리포) 구입,2025-11-19,198000,주식회사 데이터드리븐,에듀테크
2025,고운고등학교,1인수의,물품,(원인)2025학년도 디지털 선도학교 에듀테크 물품(미드저니 외 9종) 구입,2025-11-18,4737500,주식회사 오늘배움,에듀테크
2025,산울중학교,1인수의,물품,[초]디지털 교육혁신 실천학교 운영을 위한 에듀테크 구독료(알공영어) 지출(3차),2025-11-17,960000,주식회사 디엔소프트,에듀테크
2025,산울중학교,1인수의,물품,[초]디지털 교육혁신 실천학교 운영을 위한 에듀테크 구독료(토도수학) 지출(3차),2025-11-17,104000,나이스쿨,에듀테크
2025,산울중학교,1인수의,물품,[초]디지털 교육혁신 실천학교 운영을 위한 에듀테크 구독료(토도한글) 지출(3차),2025-11-17,240000,주식회사 에누마코리아,에듀테크
2025,바른초등학교,1인수의,물품,[카드] 2025학년도 에듀테크 주제전학공 운영 물품(HDMI 케이블) 품의 구입(2차),2025-11-12,67800,주식회사 삼화문구 세종점,에듀테크
2025,산울중학교,1인수의,물품,[초]디지털 교육혁신 실천학교 운영을 위한 에듀테크 구독료(AI 마음일기 외 3종) 지출(,2025-11-12,968000,(주)아이스크림미디어,에듀테크
2025,산울중학교,1인수의,물품,[초]디지털 교육혁신 실천학교 운영을 위한 에듀테크 구독료(매쓰홀릭T 수학앱 외 1종) 지,2025-11-12,745800,테크빌교육(주),에듀테크
2025,산울중학교,1인수의,물품,[초]디지털 교육혁신 실천학교 운영을 위한 에듀테크 구독료(AI 투닝 프로) 지출(2차),2025-11-12,436800,주식회사 툰스퀘어 (Toonsquare),에듀테크
2025,새롬중학교,1인수의,물품,"2025 디지털기반 교육혁신실천학교 운영 에듀테크 구독료(어도비3,4계정)",2025-11-10,1135200,Adobe,에듀테크
2025,두루초등학교,1인수의,용역,디지털 교육전환 연구를 위한 교원 연구용 에듀테크 구입비 지급,2025-11-07,3600000,테크빌교육(주),에듀테크
2025,아름초등학교,1인수의,물품,[카11.7.] 2025학년도 디지털 기반 교육혁신 실천학교 운영을 위한 에듀테크 구입(아,2025-11-07,1068000,아이스크림몰,에듀테크
2025,세종고등학교,1인수의,물품,디지털기반 교육혁신 실천학교 AI 에듀테크 구입비 지급,2025-11-06,440000,(주)전인교육,에듀테크
2025,다빛초등학교,1인수의,물품,디지털 튜터 활용 수업 운영을 위한 에듀테크 구입,2025-11-06,1455000,테크빌교육(주),에듀테크
2025,새롬중학교,1인수의,물품,"2025 디지털기반 교육혁신실천학교 운영 에듀테크 구독료(어도비1,2계정)",2025-11-06,1135200,Adobe,에듀테크
2025,보람고등학교,1인수의,물품,[카드][2025학년도 디지털 선도학교]에듀테크 구독비(노션 플러스),2025-11-05,846000,주안테크,에듀테크
2025,세종장영실고등학교,1인수의,물품,(카드11.5.) 에듀테크 프로그램 구입(학교장터),2025-11-05,2632000,올댓스쿨 주식회사,에듀테크
2025,종촌고등학교,1인수의,물품,2025학년도 전문적 학습공동체 역량 강화를 위한 에듀테크 프로그램 구입,2025-10-31,3154000,테크빌교육(주),에듀테크
2025,고운초등학교,1인수의,물품,2025년 디지털 실천학교 운영 관련 에듀테크 구입비 지급(아트봉봉),2025-10-27,1101000,(주)아이스크림미디어,에듀테크
