회계연도,기관명,계약명,계약일,계약금액,계약방법,계약상대자,키워드
2026,대덕초등학교,AI 디지털활용 선도학교 에듀테크(클로드 맥스 외) 구입비 지급,2026-07-15,1550000,1인수의,주안테크,에듀테크
2026,대덕초등학교,AI 디지털활용 선도학교 에듀테크(ChatGPTI 외) 구입비 지급,2026-06-22,9604200,1인수의,주안테크,에듀테크
2026,명석고등학교,[창의인재학교] 에듀테크 공간 비품 구입 원인행위,2026-06-16,1342000,1인수의,11번가,에듀테크
2026,대전도안고등학교,AI 중점학교 운영을 위한 에듀테크(생성형 AI) 구입비 지급,2026-06-10,16591400,1인수의,올아이피정보통신 주식회사,에듀테크
2026,대전둔원중학교,"2026학년도 에듀테크 소프트웨어 프로그램 구입(패들렛, 북크리에이터)",2026-06-04,1770000,1인수의,(주)에듀에이드,에듀테크
2026,대전판암초등학교,2026학년도 AI 중점학교 운영을 위한 에듀테크 및 생성형 AI 구독비 지급,2026-05-22,3002000,1인수의,나이스쿨,에듀테크
2026,대전둔산초등학교,AI·디지털 활용 선도학교 운영 에듀테크 구입(4차),2026-05-20,3500000,1인수의,테크빌교육(주),에듀테크
2026,대전구봉중학교,2026년 AI·디지털 에듀테크 구입(3차),2026-05-18,1080000,1인수의,아르미에듀,에듀테크
2026,대전도안고등학교,AI 중점학교 운영을 위한 에듀테크(DBpia) 구입비 지급,2026-05-15,3348000,1인수의,(주)누리미디어,에듀테크
2026,대전삼성초등학교,2026학년도 학생평가 연구학교 및 선도학교 에듀테크 구입(학교장터 즉시견적),2026-05-12,1782000,1인수의,주식회사 데이터드리븐,에듀테크
2026,대전대신중학교,2026학년도 창의인재학교 전문적학습공동체 에듀테크SW(패들렛) 구입 원인행위,2026-05-06,1620000,1인수의,클라스온 주식회사,에듀테크
2026,성덕중학교,에듀테크 프로그램(패들렛) 구입,2026-04-27,1350000,1인수의,올댓스쿨 주식회사,에듀테크
2026,대전신일여자고등학교,(AI·디지털활용)2026년 AI·디지털활용 선도학교 에듀테크(패들렛) 사용료 지출 원인행,2026-04-24,2288000,1인수의,(주)구르미교육,에듀테크
2026,대전호수초등학교,2026학년도 에듀테크 기반 미래형 수업지원을 위한 패들렛 구입비 지급,2026-04-23,3584010,1인수의,패들렛(padlet),에듀테크
2026,대전만년고등학교,2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(이음AI) 구입비 지급,2026-04-22,4080000,1인수의,(주)화이트소프트,에듀테크
2026,대전만년고등학교,2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(이음AI_2차) 구입비,2026-04-20,1620000,1인수의,(주)화이트소프트,에듀테크
2026,청란여자중학교,2026학년도 영어학습 팀플(TeamFluent) 운영을 위한 에듀테크 프로그램 사용료 지,2026-04-17,1660000,1인수의,주식회사 리딩게이트,에듀테크
2026,대전태평중학교,2026년 AI·디지털 활용 선도학교 운영 에듀테크 소프트웨어 구입,2026-04-17,3070000,1인수의,위드현 에듀테크,에듀테크
2026,대전태평중학교,2026년 AI·디지털 활용 선도학교 운영 에듀테크 소프트웨어 구입(패들렛 외 3종),2026-04-17,1398000,1인수의,테크빌교육,에듀테크
2026,대전대신초등학교,2026학년도 AI·디지털 활용 연구학교 운영 AI 코스웨어 및 에듀테크 구입비 지출(토드,2026-04-16,12816000,1인수의,위드플러스,에듀테크
2026,대전신일여자고등학교,(AI·디지털활용)2026년 AI·디지털활용 선도학교 에듀테크 사용료 지출 원인행위,2026-04-15,4173000,1인수의,(주)구르미교육,에듀테크
2026,대전신일여자고등학교,(AI·디지털활용)2026년 AI·디지털활용 선도학교 에듀테크(옥수수) 사용료 지출 원인행,2026-04-15,3000000,1인수의,비상교육FC,에듀테크
2026,대전구봉중학교,2026년 AI·디지털 에듀테크 이용 구입,2026-04-14,18103440,1인수의,주식회사 구르미교육,에듀테크
2026,대전만년고등학교,[카드] 2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(플랭스쿨) 구입,2026-04-08,2500000,1인수의,주식회사 플랭,에듀테크
2026,대전노은초등학교,디지털 활용 수업을 위한 AI 에듀테크 라이선스 구독료 지급,2026-04-08,5110000,1인수의,클라스온 주식회사,에듀테크
2026,대전만년고등학교,[카드] 2026학년도 AI·디지털 선도학교 운영을 위한 에듀테크 프로그램(ZEP) 구입비,2026-04-07,2500000,1인수의,주식회사 젭(ZEP),에듀테크
2026,대전갑천중학교,2026학년도 AI 중점학교 에듀테크 SW 구입(GOOGLE AI PRO 9개월 구독),2026-04-03,1260000,1인수의,위드현 에듀테크,에듀테크
2026,대전갑천중학교,2026학년도 AI 중점학교 에듀테크 SW 구입(CHAT GPT PLUS(GPT-5.2),2026-04-03,1260000,1인수의,아이티무유,에듀테크
2026,대전새미래중학교,2026학년도 맞춤형 영어학습 팀플 운영을 위한 디지털 에듀테크 프로그램 구입,2026-03-06,1401000,1인수의,티박스,에듀테크
2024,대전가오초등학교,2024학년도 AIDT 준비학교 코스웨어(듀오링고)구입,2025-01-13,1896000,1인수의,아이티존(주),코스웨어
2024,대전대정초등학교,AIDT 준비학교 운영을 위한 AI코스웨어 구입,2024-12-16,1485000,1인수의,테크빌교육(주),코스웨어
2024,대전석봉초등학교,2024학년도 디지털 기반 미래수업 활용 AI 코스웨어 구입비 지출(S2B),2024-12-13,1200000,1인수의,주식회사 클래스팅,코스웨어
2024,동방여자중학교,AIDT 준비학교 영어교과 코스웨어 구입,2024-12-03,1363500,1인수의,주식회사 제로엑스플로우,코스웨어
2024,동방여자중학교,AIDT 준비학교 수학교과 코스웨어 구입,2024-12-03,1231500,1인수의,테크빌교육(티처몰),코스웨어
2024,대전신일중학교,AIDT 준비를 위한 운영 협의회 및 코스웨어 구입비 지출(원인행위),2024-11-25,1368000,1인수의,(주) 교육의정석,코스웨어
2024,대전신일여자고등학교,2024학년도 디지털 선도학교 운영 관련 코스웨어(Chat GPT) 사용료 지출 원인...,2024-11-06,4225920,1인수의,테크빌교육(주),코스웨어
2024,대전비래초등학교,2024년 AIDT 준비학교 운영 AI코스웨어 구독료 지급,2024-10-29,3000000,1인수의,(주)미래엔,코스웨어
2024,대전대신고등학교,디지털 교육 선도학교 운영을 위한 정보과 AI코스웨어 구입,2024-10-22,10650000,1인수의,(주)엘리스그룹,코스웨어
2024,가수원초등학교,AIDT준비학교 운영을 위한 코스웨어 구입,2024-10-17,1900000,1인수의,주식회사클래스팅,코스웨어
2024,동방고등학교,디지털교육 선도학교 관련 AI코스웨어(ChatGPT) 구입비 지출,2024-10-16,1056000,1인수의,주식회사 콥스,코스웨어
2024,대전동서초등학교,디지털 기반 미래수업 교사학습공동체 A.I 코스웨어 구입,2024-10-11,1440000,1인수의,주식회사팀플백,코스웨어
2024,신탄진용정초등학교,2024학년도 디지털 기반 미래수업 AI코스웨어 구입비 지출,2024-10-10,1615700,1인수의,한국교직원공제회S2B,코스웨어
2024,대전가양초등학교,[S2B]AIDT 준비학교 코스웨어(클래스팅 AI) 구입 요청,2024-10-08,1600000,1인수의,주식회사 클래스팅,코스웨어
2024,대전삼성초등학교,2024학년도 AI 코스웨어 구입,2024-10-08,1450000,1인수의,주식회사 클래스팅,코스웨어
2024,동방고등학교,디지털교육 선도학교 관련 AI코스웨어(ChatGPT) 구입비 지출,2024-09-30,16896000,1인수의,주식회사 콥스,코스웨어
2024,유성초등학교,AIDT준비학교 운영을 위한 AI코스웨어 구입비 지급,2024-09-24,1155000,1인수의,(주) 천재교과서,코스웨어
2024,대전현암초등학교,2024학년도 AI 코스웨어 구입비 지급,2024-09-20,1200000,1인수의,주식회사 클래스팅,코스웨어
2024,대전도마초등학교,디지털 기반 미래 수업 교사학습공동체 운영을 위한 코스웨어 구입비 지급,2024-09-13,1042800,1인수의,테크빌교육(주),코스웨어
2024,대전은어송중학교,AIDT 준비학교 운영을 위한 AI코스웨어를 구입비 지출,2024-09-11,2194500,1인수의,주식회사 클래스팅,코스웨어
2024,신탄중앙중학교,[S2B]교과 AI 코스웨어(지니아튜터) 구입비 지급,2024-09-09,5040000,1인수의,(주) 천재교과서,코스웨어
2024,대전둔원중학교,2024년 학습 데이터 활용 수업용 수학과 코스웨어 구입,2024-09-06,1500000,1인수의,마타에듀 주식회사,코스웨어
2024,대전둔원중학교,2024년 학습 데이터 활용 수업용 영어과 코스웨어 구입,2024-09-06,1500000,1인수의,주식회사 플랭,코스웨어
2024,대전수미초등학교,2024학년도 디지털 기반 미래수업 교사학습공동체 코스웨어(쳇GPT 플러스  ...,2024-09-06,1022400,1인수의,(주)아이스크림미디어,코스웨어
2024,대전원평초등학교,2024학년도 6학년 AI코스웨어 구입 지출,2024-07-26,1584000,1인수의,테크빌교육(주),코스웨어
2024,와동초등학교,디지털 기반 미래수업 교사학습공동체 AI 코스웨어 구입,2024-07-25,1575200,1인수의,주식회사 클래스팅,코스웨어
