제품명,영문명,공급자,구분,확인여부,등록일
FlipHTML5,FlipHTML5,Wonder Ideatechnology Limited,private_foreign,confirmed,2026-02-23
하이코드,hicode,이치우,other,confirmed,2026-03-17
추리추리춤추리,,,private_domestic,confirmed,2026-03-13
메이킷 AI 코드 클래스,,,private_domestic,confirmed,2026-03-16
,Arpe,,private_domestic,confirmed,2026-03-10
Excalidraw & Excalidraw+,Excalidraw & Excalidraw+,Excalidraw s.r.o,private_foreign,confirmed,2026-02-23
PressReader,PressReader,PressReader International Limited,private_foreign,confirmed,2026-02-13
Pixlr,Pixlr,Pixlr Pte. Ltd.,private_foreign,confirmed,2026-02-13
Programiz,,Parewa Labs,private_foreign,confirmed,2026-02-12
"AI시대 미래역량 검사, 디큐",,,private_domestic,confirmed,2026-03-16
Pixton,,Pixton Comics Inc,private_foreign,confirmed,2026-02-12
Phonics and Stuff,,Phonics and Stuff LLC,private_foreign,confirmed,2026-02-12
"CodeCombat, Ozaria, CodeCombat Jr., AL Hackstack",,CodeCombat Inc.,private_foreign,confirmed,2026-02-11
국어하다,gugeohada,디지털정수,other,confirmed,2026-03-16
Drawboard PDF,,Drawboard Pty Ltd,private_foreign,confirmed,2026-02-11
DroneBlocks Enterprise Membership,,"DroneBlocks, LLC",private_foreign,confirmed,2026-02-11
에듀플로우,EduFlow,최익현,other,confirmed,2026-03-16
HelloTalk,,Global Connection Technologies Limited,private_foreign,confirmed,2026-02-11
,JIKKO AI CAMERA,,private_domestic,confirmed,2026-03-16
Kialo Edu,,Kialo GmbH,private_foreign,confirmed,2026-02-11
슬기로운 말글마이너: 네이버 뉴스편,Korean Text Miner: Naver News Edition,이대형,other,confirmed,2026-03-16
MagicSchool,,"Magic School, Inc.",private_foreign,confirmed,2026-02-11
EBS 표준화 심리검사,,,private_domestic,confirmed,2026-03-09
슬기로운 말글마이너: YouTube 댓글편,Korean Text Miner: YouTube Comments Edition,이대형,other,confirmed,2026-03-16
"Amplify Classroom, Polypad, Mathigon","Amplify Classroom, Polypad, Mathigon","Amplify Education, Inc.",private_foreign,confirmed,2026-02-11
코디(cody),cody,이정윤,other,confirmed,2026-03-16
케이렙(KcLep),KcLep,,private_domestic,confirmed,2026-02-19
,,,private_domestic,confirmed,2026-01-30
,KIDKIDS,,private_domestic,confirmed,2026-02-03
,,,private_domestic,confirmed,2026-03-11
,nurimori with,,private_domestic,confirmed,2026-02-03
누리놀이,nurinori,,private_domestic,confirmed,2026-02-03
,LetsCoding,,private_domestic,confirmed,2026-03-12
,,,private_domestic,confirmed,2026-03-06
,,,private_domestic,confirmed,2026-03-06
,,,private_domestic,confirmed,2026-03-06
SystemEver ERP/기업자원통합관리,,,private_domestic,confirmed,2026-02-27
줌(Zoom),Zoom,,private_foreign,confirmed,2026-03-13
진학관리프로그램,,,private_domestic,confirmed,2026-03-06
"웨이그라운드(Wayground, 퀴지즈)",Wayground (Quizizz),,private_foreign,confirmed,2026-01-26
심리 검사,,,private_domestic,confirmed,2026-03-13
위툰,WeToon,,private_domestic,confirmed,2026-01-30
,Videostew,,private_domestic,confirmed,2026-02-09
,AI Career Education,,private_domestic,confirmed,2026-03-10
,Edutree,,private_domestic,confirmed,2026-02-24
,COEIC,,private_domestic,confirmed,2026-02-24
,Codetree,,private_domestic,confirmed,2026-02-24
코딧(Codit),Codit,박지훈,other,confirmed,2026-03-13
오비스,ovice,,private_foreign,confirmed,2026-02-25
화해,hwahae,,private_domestic,confirmed,2026-03-11
AI 모두의 자서전,,,private_domestic,confirmed,2026-03-12
플레이파이썬,PlayPython,황병욱,other,confirmed,2026-03-12
,,,private_domestic,confirmed,2026-03-12
,,,private_domestic,confirmed,2026-03-12
PI Class(파이클래스),PI Class,,private_domestic,confirmed,2026-03-12
,LewwonWith,,private_domestic,confirmed,2026-02-23
스펙트로메트리,Spectrometry,,private_foreign,confirmed,2026-03-12
위즈윙에듀,,,private_domestic,confirmed,2026-02-27
마인드게이즈,MindGaze,,private_domestic,confirmed,2026-01-23
스마트밸런스,,,private_domestic,confirmed,2026-03-11
Mentor Online,Mentor Online,,private_domestic,confirmed,2026-02-10
,ClassMap,,private_domestic,confirmed,2026-03-12
,,,private_domestic,confirmed,2026-01-29
,,,private_domestic,confirmed,2026-01-29
디지털 시민 유형 진단(DCTI),,,private_domestic,confirmed,2026-03-06
,,,private_domestic,confirmed,2026-02-04
,AI Nanumi,,private_domestic,confirmed,2026-03-12
,,,private_domestic,confirmed,2026-01-29
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-06
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-04
파스코 ON,,,private_domestic,confirmed,2026-02-10
위스토리(Westory),Westory,방재석,other,confirmed,2026-02-25
2차원 운동 분석,2D Motion Analysis,,private_domestic,confirmed,2026-03-12
서울진로진학정보센터,,,public_including_city_province,confirmed,2026-02-05
쎈(SEN)진학 나침판,,,public_including_city_province,confirmed,2026-02-05
KT AI Studio,KT AI Studio,,private_domestic,confirmed,2026-03-03
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-04
,,,private_domestic,confirmed,2026-03-04
책걸음,,,private_domestic,confirmed,2026-02-25
,EDUKODI,,private_domestic,confirmed,2026-03-11
비상교육 AI 디지털 교육자료 고등 정보,,,ai_digital_educational_materials,confirmed,2026-01-29
비상교육 AI 디지털 교육자료 중학 정보,,,ai_digital_educational_materials,confirmed,2026-01-29
,Altino Lite,,private_domestic,confirmed,2026-02-27
,EduOneX,,private_domestic,confirmed,2026-03-11
,,,private_domestic,confirmed,2026-02-27
,,,private_domestic,confirmed,2026-02-27
,,,private_domestic,confirmed,2026-02-27
,,,private_domestic,confirmed,2026-02-27
,,,private_domestic,confirmed,2026-02-27
,,,private_domestic,confirmed,2026-02-27
,Class Saathi,,private_domestic,confirmed,2026-01-23
온생각 시스템,,,public_including_city_province,confirmed,2026-02-28
플레이봇,PlayBot,황병욱,other,confirmed,2026-03-11
,DEEPCO BOARD,,private_domestic,confirmed,2026-03-11
미래교육연구회 사이트,Happyedupro,미래교육연구회,other,confirmed,2026-02-09
씽링크,ThingLink,,private_foreign,confirmed,2026-01-23
,,,private_domestic,confirmed,2026-02-24
구름EDU,goormEDU,,private_domestic,confirmed,2026-02-03
심리검사,,,private_domestic,confirmed,2026-03-09
프로젝트 아키펠라고,Project Archipelago,김한솔,other,confirmed,2026-03-10
루미온,lumion,,private_foreign,confirmed,2026-02-25
,highedu,,private_domestic,confirmed,2026-03-10
Goodnotes(Goodnotes Education),,,private_foreign,confirmed,2026-02-03
MODI PLANET,MODI PLANET,,private_domestic,confirmed,2026-02-26
,,,private_domestic,confirmed,2026-01-27
AI 쉐도우리딩(슈필라움),,,private_domestic,confirmed,2026-03-03
스픽마스터,,,private_domestic,confirmed,2026-02-05
비트블록,BitBlock,,private_domestic,confirmed,2026-02-03
다다익샘(다락원 교과서),,,private_domestic,confirmed,2026-03-06
,KamibotPi,,private_domestic,confirmed,2026-02-03
,B-Bingo,,private_domestic,confirmed,2026-03-10
와캠퍼스,WACAMPUS,,private_domestic,confirmed,2026-02-24
코드쌤봇,codessam-bot,정아림,other,confirmed,2026-03-09
AI 미디어아트 융합수업 플랫폼,ArtLink,김대진,other,confirmed,2026-02-23
,,,private_domestic,confirmed,2026-01-22
사이언스올,,,public_including_city_province,confirmed,2026-03-09
,ealimi,,private_domestic,confirmed,2026-02-03
온라인 체험 배정,,,public_including_city_province,confirmed,2026-03-09
,ieumAI,,private_domestic,confirmed,2026-02-02
CLASSVR,,,private_foreign,confirmed,2026-02-05
,JIKKO BASIC,,private_domestic,confirmed,2026-03-09
VARCO Translation,VARCO Translation,,private_domestic,confirmed,2026-03-05
VARCO Voice,VARCO Voice,,private_domestic,confirmed,2026-03-05
VARCO Sound,VARCO Sound,,private_domestic,confirmed,2026-03-05
VARCO 3D,VARCO 3D,,private_domestic,confirmed,2026-03-05
한글판 GSP 5.0,,,private_domestic,confirmed,2026-02-26
한글판 Tess,,,private_domestic,confirmed,2026-02-26
[따프] AI 미러봇,,,private_domestic,confirmed,2026-02-26
[따프] 피타고라스의 초대,,,private_domestic,confirmed,2026-02-26
[따프] 수학자의 저주,,,private_domestic,confirmed,2026-02-26
[따프] 신라의 비밀,,,private_domestic,confirmed,2026-02-26
[따프] 백제 미스터리 연구소,,,private_domestic,confirmed,2026-02-26
딥코 스튜디오,DEEPCO STUDIO,,private_domestic,confirmed,2026-02-09
코드마에스트로,Codemaestro,이상윤,other,confirmed,2026-03-09
온더바이트,onthebyte,한진우,other,confirmed,2026-03-09
Math41,,,private_domestic,confirmed,2026-03-07
,CURO AI,,private_domestic,confirmed,2026-01-27
Pentalk_PRO_TC4,Pentalk_PRO_TC4,,private_domestic,confirmed,2026-03-09
Pentalk_PRO_TC1,Pentalk_PRO_TC1,,private_domestic,confirmed,2026-03-09
Pentalk_PRO_DP6,Pentalk_PRO_DP6,,private_domestic,confirmed,2026-03-09
Pentalk_PRO_DP4,Pentalk_PRO_DP4,,private_domestic,confirmed,2026-03-09
Pentalk_PBL_STD,Pentalk_PBL_STD,,private_domestic,confirmed,2026-03-09
Pentalk_PBL_PRO,Pentalk_PBL_PRO,,private_domestic,confirmed,2026-03-09
,Metagonition OMR,,private_domestic,confirmed,2026-03-08
실내놀이 MX존,,,private_domestic,confirmed,2026-03-09
아동 청소년 행동평가척도 부모용(CBCL6-18),Child Behavior Checklist for Ages 6-18,,private_domestic,confirmed,2026-02-19
아동 청소년 행동평가척도 교사용(TRF),Teacher's Report Form,,private_domestic,confirmed,2026-02-19
청소년 행동평가척도 자기보고용(YSR),Youth Self Report,,private_domestic,confirmed,2026-02-19
클래스뱅크,Class Bank,권보형,other,confirmed,2026-03-09
,Blockoli coding,,private_domestic,confirmed,2026-02-06
AI 에듀 클래스,AI Edu Class,,private_domestic,confirmed,2026-03-06
,,,private_domestic,confirmed,2026-02-09
,,,private_domestic,confirmed,2026-02-09
엔이능률 AIDT 교육자료 (공통영어2(오)),,,ai_digital_educational_materials,confirmed,2026-01-28
엔이능률 AIDT 교육자료 (공통영어1(오)),,,ai_digital_educational_materials,confirmed,2026-01-28
엔이능률 AIDT 교육자료 (공통영어2(민)),,,ai_digital_educational_materials,confirmed,2026-01-28
엔이능률 AIDT 교육자료 (공통영어1(민)),,,ai_digital_educational_materials,confirmed,2026-01-28
엔이능률 AIDT 교육자료 (영어2),,,ai_digital_educational_materials,confirmed,2026-01-28
엔이능률 AIDT 교육자료 (영어1),,,ai_digital_educational_materials,confirmed,2026-01-28
엔이능률 AIDT 교육자료,,,ai_digital_educational_materials,confirmed,2026-01-22
"티칭샘, 클래스링크 랩",,,private_domestic,confirmed,2026-02-06
,AI Golden Kids Speaker,,private_domestic,confirmed,2026-01-27
AICE,,,private_domestic,confirmed,2026-03-06
FOX vClass,,,private_domestic,confirmed,2026-02-24
"다채움 (채움모니터, 채움책방, 채움수학, 채움영어, 채움코딩, 채움캔버스, 채움타자 등)",dachaeum,,public_including_city_province,confirmed,2026-01-23
워드월(Wordwall),Wordwall,,private_foreign,confirmed,2026-02-13
충북 학생 체인지 플랫폼,,,public_including_city_province,confirmed,2026-02-13
심리검사지,,,private_domestic,confirmed,2026-02-12
심리검사 유통 및 해석교육,,,private_domestic,confirmed,2026-03-08
,kidsdiary,,private_domestic,confirmed,2026-01-27
카훗(Kahoot!),Kahoot!,,private_foreign,confirmed,2026-01-26
우리아이(AI) 교수학습 플랫폼,wooriai(https://wooriai.use.go.kr/),,public_including_city_province,confirmed,2026-01-26
오늘의 일기,,,private_domestic,confirmed,2026-03-05
그리니티,Greenity,김동영,other,confirmed,2026-03-06
,VocaTalk,,private_domestic,confirmed,2026-02-27
,PICL,,private_domestic,confirmed,2026-02-02
면접의 달인,Interview-Master,지호덕,other,confirmed,2026-02-06
사서의 달인,Library-Master,지호덕,other,confirmed,2026-02-06
수업의 달인,class-master,지호덕,other,confirmed,2026-02-05
그림한글,,강현수,other,confirmed,2026-03-06
에듀에이블,,,public_including_city_province,confirmed,2026-02-27
스쿨투게더,,,private_domestic,confirmed,2026-03-04
동아여자고등학교 관리 시스템,DONG A GIRLS' HIGH SCHOOL,이현우,other,confirmed,2026-03-06
KT AI 코디니,KT AI Codiny,,private_domestic,confirmed,2026-02-27
독서로,,한국교육학술정보원(KERIS),public_including_city_province,confirmed,2026-01-22
중학교 생활 중국어 교과서 (2022개정) - 전자저작물,,,private_domestic,confirmed,2026-02-04
HHIPS-양치기록솔루션,HHIPS Smart Toothbrushing Monitoring Solution,,private_domestic,confirmed,2026-03-05
HHIPS-TeamUp 사이클릴레이,TeamUp Cycle Relay Game,,private_domestic,confirmed,2026-03-05
HHIPS-PAPS자동화 솔루션,HHIPS PAPS Automation Solution,,private_domestic,confirmed,2026-03-05
HHIPS-성장예측솔루션,HHIPS AI Growth Prediction Solution,,private_domestic,confirmed,2026-03-05
게티스캐치,Getty's catch,,private_domestic,confirmed,2026-03-03
어세스타 심리검사 서비스,,,private_domestic,confirmed,2026-03-04
학교 접수봇,reception-bot,강동원,other,confirmed,2026-03-05
,,,private_domestic,confirmed,2026-03-04
슬래시페이지,Slashpage,,private_domestic,confirmed,2026-03-03
정서행동특성검사 AMPQ-3-1,,,private_domestic,confirmed,2026-02-13
타자연습,Taja,허훈영,other,confirmed,2026-03-05
똑똑 한자 공부방,Hanja,허훈영,other,confirmed,2026-03-05
엔그램 클래스,Engram Class,,private_domestic,improvement_requested,2026-03-04
드림어필,dreamappeal,,private_domestic,confirmed,2026-01-26
노션(Notion),Notion,,private_foreign,confirmed,2026-02-13
킨더보드,Kinderboard,,private_domestic,confirmed,2026-03-03
,Engram,,private_domestic,improvement_requested,2026-03-04
경남형 진로교육 지원 플랫폼(아이꿈봄),,,public_including_city_province,confirmed,2026-03-04
청소년 정서행동 특성검사 AMPQ-III-I,,,private_domestic,confirmed,2026-02-26
VLLO,VLLO,,private_domestic,confirmed,2026-03-04
학교종이,schoolbell-e,,private_domestic,confirmed,2026-02-03
다음포털/카페/어학사전,,,private_domestic,confirmed,2026-02-26
한글과컴퓨터 계정서비스(한글과컴퓨터 전체 서비스 관련),,,private_domestic,confirmed,2026-01-28
,DASCHOOL,,private_domestic,improvement_requested,2026-03-04
하이러닝_아티클러(영어)_ 경기도교육청,,,public_including_city_province,confirmed,2026-02-27
꿈it(잇)다_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
U&I심리검사,,,private_domestic,confirmed,2026-02-19
상담지원 플랫폼 밍글 mingl,mingl,,private_domestic,confirmed,2026-02-09
나의AAC,MyAAC,,private_domestic,confirmed,2026-02-09
Pentalk Pro,Pentalk Pro,,private_domestic,confirmed,2026-02-09
,RealWorld School,,private_domestic,confirmed,2026-01-30
SchoolAI,SchoolAI,,private_foreign,confirmed,2026-02-27
올바디,AllBody,,private_domestic,confirmed,2026-03-03
엔닷캐드,NdotCAD,,private_domestic,confirmed,2026-03-03
모델릭,Modelic,,private_domestic,confirmed,2026-01-27
,,,private_domestic,confirmed,2026-02-10
,,,private_domestic,confirmed,2026-03-01
,,,private_domestic,confirmed,2026-02-10
매쓰프로,Math Professional,,private_domestic,confirmed,2026-02-10
schoolsms,,,private_domestic,confirmed,2026-02-27
아이알리미,,,private_domestic,confirmed,2026-02-27
AI 스포츠 올인원 A 1.0,,,private_domestic,confirmed,2026-01-29
AI BMI & 악력,,,private_domestic,confirmed,2026-01-29
AI 스포츠 올인원 B 1.0,,,private_domestic,confirmed,2026-01-29
상태창,statyouclass,,private_domestic,confirmed,2026-02-03
AI 스포츠 박스,,,private_domestic,confirmed,2026-01-29
에이아이런,Ailearn,,private_domestic,confirmed,2026-01-29
AI 크래프트,AI CRAFT,,private_domestic,confirmed,2026-01-29
Xeropan,,Xeropan International Kft.,private_foreign,confirmed,2026-02-11
,MUSIA ONE,,private_domestic,confirmed,2026-02-04
OK증명알리아스,,,private_domestic,confirmed,2026-02-03
,Math Friends,,private_domestic,confirmed,2026-01-23
Kognity Teaching & Learning Platform,,Kognity AB,private_foreign,confirmed,2026-02-11
경기관광 플랫폼,,,public_including_city_province,confirmed,2026-02-19
미소급식 (학교전용 식수 급식관리 프로그램),,,private_domestic,improvement_requested,2026-03-03
,TOAPING,,private_domestic,confirmed,2026-02-05
"딜라이텍스(Delightex, 코스페이시스)",Delightex,,private_foreign,confirmed,2026-02-19
Quik,Quik,,private_domestic,confirmed,2026-02-04
하이러닝_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
경기온라인학교_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
경기 Be-Able (특수교육)_경기도교육청,,,public_including_city_province,confirmed,2026-03-01
웹용 디지털 마인드맵 ThinkWise,,,private_domestic,confirmed,2026-02-04
케이닷아이그림,K·AI Grimm,,private_domestic,confirmed,2026-02-26
윌라,Welaaa,,private_domestic,confirmed,2026-02-25
,medicrew,,private_domestic,confirmed,2026-02-23
,ART BONBON SCHOOL,,private_domestic,confirmed,2026-01-29
비즈메카EZ,,,private_domestic,confirmed,2026-02-19
초등 기초학력 온채움 시스템,,,public_including_city_province,confirmed,2026-02-11
중등 기초학력 온채움 시스템,,,public_including_city_province,confirmed,2026-02-11
초등 온평가 시스템,,,public_including_city_province,confirmed,2026-02-11
중등 온평가 시스템,,,public_including_city_province,confirmed,2026-02-11
온한글 한글해득 지원 시스템,,,public_including_city_province,confirmed,2026-02-11
누리한글 한글 해득 지원 시스템,,,public_including_city_province,confirmed,2026-02-11
,Math in Math (https://www.mathinmath.com_),,private_domestic,confirmed,2026-02-04
,WiseMiM,,private_domestic,confirmed,2026-02-04
,,,private_domestic,confirmed,2026-01-26
uTradeEdu,uTradeEdu,,private_domestic,confirmed,2026-02-24
스콜라,Scholar,,private_domestic,confirmed,2026-02-20
원격영상 진로멘토링,,,public_including_city_province,confirmed,2026-02-25
온라인 창업체험교육 플랫폼 YEEP,,,public_including_city_province,confirmed,2026-02-25
펜슬스페이스,Pencil Spaces,,private_foreign,confirmed,2026-02-25
라즈키즈 온라인 독서 프로그램,Raz Kids,,private_foreign,confirmed,2026-02-27
,TEMI,,private_domestic,confirmed,2026-02-10
Tracker Video Analysis and  Modeling Tool,Tracker Video Analysis and  Modeling Tool,Open Source Physics,private_foreign,confirmed,2026-02-27
VEXcode,VEXcode,VEX Robotics,private_foreign,confirmed,2026-02-27
HMH All products,HMH All products,HMH Education Company,private_foreign,confirmed,2026-02-27
Heinemann All products,Heinemann All products,Heinemann,private_foreign,confirmed,2026-02-27
Classwork.com,Classwork.com,Classwork.com,private_foreign,confirmed,2026-02-27
,,,private_domestic,confirmed,2026-01-22
경기고교학점제_경기도교육청,,,public_including_city_province,confirmed,2026-02-26
하이러닝 AI 서논술형평가시스템_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
하이러닝_미리캔버스_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
하이러닝 스마트리영어_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
하이러닝_CLASSUP_영어 수업 평가 모형_경기도교육청,,,public_including_city_province,confirmed,2026-02-27
진로진학웹플랫폼 '오늘도',ONLDO,,private_domestic,confirmed,2026-02-19
이지블록스,EasyBlocks,,private_domestic,confirmed,2026-02-12
,RSPT,,private_domestic,confirmed,2026-01-30
,CherryPot,,private_domestic,confirmed,2026-01-25
,,,private_domestic,confirmed,2026-01-30
잉글리쉬캐슬(잉글리시캐슬),,,private_domestic,confirmed,2026-02-24
,,,private_domestic,confirmed,2026-02-24
,checkbada,,private_domestic,confirmed,2026-02-24
닷홈,dothome,,private_domestic,confirmed,2026-02-27
[YBM] AI 디지털 교육자료 고등 정보,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 정보,,,ai_digital_educational_materials,confirmed,2026-01-23
초등학교 정보여행,,,ai_digital_educational_materials,confirmed,2026-01-29
용산e,,,public_including_city_province,confirmed,2026-02-27
,apoc,,private_domestic,confirmed,2026-01-27
심리검사,,,private_domestic,confirmed,2026-02-09
AI Feel,AI Feel,,private_domestic,confirmed,2026-02-06
ePAPS,,,private_domestic,confirmed,2026-02-27
,Vidtomi,,private_domestic,confirmed,2026-01-29
ingyu's ai world(초등학교 AI 웹앱 자료집),ingyu's ai world,백인규,other,confirmed,2026-01-29
AI 소셜로봇 리쿠,,,private_domestic,confirmed,2026-02-10
,weelog,,private_domestic,confirmed,2026-02-11
,,,private_domestic,confirmed,2026-02-23
호두잉글리시M,,,private_domestic,confirmed,2026-02-23
런데이,RUNDAY,,private_domestic,confirmed,2026-02-13
스타랜드 파닉스,,,private_domestic,confirmed,2026-02-23
디지털 교수학습자료(일본어/중국어 등),,,private_domestic,confirmed,2026-02-11
,ZEP QUIZ,,private_domestic,confirmed,2026-01-26
,ZEP School,,private_domestic,confirmed,2026-01-26
젭,ZEP,,private_domestic,confirmed,2026-01-26
미래엔 AI·디지털 교육자료 (초등 정보),,,ai_digital_educational_materials,confirmed,2026-01-22
미래엔 AI·디지털 교육자료 (중등 정보),,,ai_digital_educational_materials,confirmed,2026-01-22
미래엔 AI·디지털 교육자료 (고등 정보),,,ai_digital_educational_materials,confirmed,2026-01-22
,,,ai_digital_educational_materials,confirmed,2026-01-26
,seamspace,,private_domestic,confirmed,2026-01-23
고등 정보 AI 디지털 교육자료,,,ai_digital_educational_materials,confirmed,2026-01-22
중등 정보 AI 디지털 교육자료,,,ai_digital_educational_materials,confirmed,2026-01-22
반짝클래스,,김세훈,other,confirmed,2026-01-29
크리에이터링크,Creatorlink,,private_domestic,confirmed,2026-02-27
모두싸인,,,private_domestic,confirmed,2026-02-20
,,,private_domestic,confirmed,2026-02-24
스마트농구,,,private_domestic,confirmed,2026-02-27
지난지난이,,이진한,other,confirmed,2026-02-27
,EZON,,private_domestic,confirmed,2026-02-21
,EZMAKER,,private_domestic,confirmed,2026-02-09
,Raporapo,,private_domestic,confirmed,2026-01-23
Learn X (런엑스),,,private_domestic,confirmed,2026-02-11
코드이썬,,,private_domestic,confirmed,2026-02-11
,,,private_domestic,confirmed,2026-02-09
학술연구정보서비스(RISS),RISS,한국교육학술정보원(KERIS),public_including_city_province,confirmed,2026-02-19
DRM AI 엑셀 추가 기능,,,private_domestic,confirmed,2026-02-03
,READING&,,private_domestic,confirmed,2026-01-22
커리즌,currizen,,private_domestic,confirmed,2026-02-20
노크,NOK,,private_domestic,confirmed,2026-02-04
하루북,Harubook,,private_domestic,confirmed,2026-02-04
,EDULIB,,private_domestic,confirmed,2026-02-03
갓피플성경,,,private_domestic,confirmed,2026-02-11
참잘했어요 프린트학습지,,,private_domestic,confirmed,2026-02-25
학과계열선정검사/자기주도학습습관진단검사,,,private_domestic,confirmed,2026-02-27
위즈밴드,Wiz Band,,private_domestic,confirmed,2026-02-06
위즈컨트롤러,Wiz Controller,,private_domestic,confirmed,2026-02-06
코딩스쿨,Coding School,,private_domestic,confirmed,2026-02-06
,Cogym,,private_domestic,confirmed,2026-02-06
,,,private_domestic,confirmed,2026-02-19
오디언 오디오북,audien audiobook,,private_domestic,confirmed,2026-02-27
디지털윤리,,,public_including_city_province,confirmed,2026-02-11
박스히어로,BoxHero,,private_domestic,confirmed,2026-02-23
국립온라인과학관 메타플리,MetaPly,,public_including_city_province,confirmed,2026-02-20
스쿨톡,SchoolTalk,,private_domestic,confirmed,2026-02-24
키네마스터,KineMaster,,private_domestic,confirmed,2026-02-09
내신닷컴 단체가입,,,private_domestic,confirmed,2026-02-05
WeeAI,,,private_domestic,confirmed,2026-02-25
AI스토리교실,AI Stroy Class,,private_domestic,confirmed,2026-02-06
,Codemonkey,,private_foreign,confirmed,2026-02-23
커뮤니샷,,,public_including_city_province,confirmed,2026-02-19
AI 펭톡,AI PengTalk,,public_including_city_province,confirmed,2026-01-26
대전 인공지능 맞춤형 교수학습 플랫폼(AIEP),,,public_including_city_province,confirmed,2026-02-02
"스캔파워(ScanPower), 수능모의고사(KGCSN), 성적관리(교무업무) PLUS  프로그램",,,private_domestic,confirmed,2026-02-26
리빙박스,,,private_foreign,confirmed,2026-02-22
믐 (온라인 전시- 올인원 툴),MEUM,,private_domestic,confirmed,2026-02-11
마인드큐브,,,private_domestic,confirmed,2026-02-26
[YBM] AI 디지털 교육자료 초등 수학 6-2,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 6-1,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 5-2,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 5-1,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 수학1,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 4-2,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 수학2,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 4-1,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 3-2,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 영어1(김은형),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 영어1(박준언),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 영어2(김은형),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 수학 3-1,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 중학 영어2(박준언),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 고등 공통수학1,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 고등 공통수학2,,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어6(최희경),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어5(최희경),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 고등 공통영어1(김은형),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어4(최희경),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 고등 공통영어1(박준언),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 고등 공통영어2(김은형),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어3(최희경),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어6(김혜리),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어5(김혜리),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어4(김혜리),,,ai_digital_educational_materials,confirmed,2026-01-23
[YBM] AI 디지털 교육자료 초등 영어3(김혜리),,,ai_digital_educational_materials,confirmed,2026-01-23
Real PT,Real PT,,private_domestic,confirmed,2026-02-09
리딩비 AI 영어독서 프로그램,,,private_domestic,confirmed,2026-02-02
콴다,QANDA,,private_domestic,confirmed,2026-02-11
,CODMOS,,private_domestic,confirmed,2026-01-29
윤소프트 보건일지,윤소프트 보건일지,,private_domestic,confirmed,2026-02-26
마에스트로,Maestro,,private_domestic,confirmed,2026-02-25
exbody670,exbody670,,private_domestic,improvement_requested,2026-02-26
말해보카,,,private_domestic,confirmed,2026-02-05
