제품명,영문명,공급자,구분,확인여부,등록일
세종시립도서관,,,public_including_city_province,confirmed,2026-06-22
"Newsela, Newsela LITE","Newsela, Newsela LITE","Newsela, Inc",private_foreign,confirmed,2026-06-05
GCompris,GCompris,Timothée Giet,private_foreign,confirmed,2026-06-08
Geomagic DesignX and Freeform,,,private_foreign,improvement_requested,2026-06-24
온웨이에듀 / 종합관리시스템,onwayedu / comprehensive management system,,private_domestic,confirmed,2026-02-19
광주형 한국어 교육 APP,,,public_including_city_province,confirmed,2026-02-23
우리아이AI 질문나눔터,WOORIAI Q&A Hub,우리아이 AI 수업이음 연구회,other,confirmed,2026-06-24
Clip2Comic,Clip2Comic,Digital Masterpieces GmbH,private_foreign,confirmed,2026-06-08
AI 윤리 탐정,AI Ethics Detective,손창용,other,confirmed,2026-06-24
장평 포털,JANGPYUNG PORTAL,이승엽,other,confirmed,2026-06-24
Raspberry Pi,Raspberry Pi,Raspberry Pi Foundation,private_foreign,improvement_requested,2026-06-22
그랩캐드 프린트,GrabCAD Print,,private_foreign,confirmed,2026-06-15
생동감,BioMap,민수정,other,confirmed,2026-06-23
수행평가 확인 및 전자서명 수합 관리 시스템,,박주은,other,confirmed,2026-06-22
더폰드,The Pond,,private_domestic,confirmed,2026-06-12
경상남도교육청 전자도서관,,,public_including_city_province,confirmed,2026-06-22
발달장애인 교육용 VR 콘텐츠,,주식회사 컨텐츠다,private_domestic,confirmed,2026-03-18
penta-view,penta-view,,private_domestic,confirmed,2026-06-16
잡에이블_국립특수교육원,,,public_including_city_province,improvement_requested,2026-06-17
평생배움세상_국립특수교육원,,,public_including_city_province,improvement_requested,2026-06-17
온맘_국립특수교육원,,,public_including_city_province,improvement_requested,2026-06-17
대표홈페이지_국립특수교육원,,,public_including_city_province,improvement_requested,2026-06-17
마이베스트(마이베스트 에듀),My Best Edu,,private_domestic,confirmed,2026-05-20
,studyA,,private_domestic,confirmed,2026-01-29
ICT 나도작곡가,,,private_domestic,confirmed,2026-01-22
TexPro,TexPro,,private_domestic,confirmed,2026-06-15
전북 인공지능 맞춤형 교수학습 플랫폼(AIEP),,,public_including_city_province,improvement_requested,2026-01-30
,PIUM,,private_domestic,confirmed,2026-06-17
에스에이치코드,SHcode,배성환,other,confirmed,2026-06-18
충북온라인학교 수업 관리 시스템,,곽민재,other,confirmed,2026-06-18
코에듀,COEDU,한원준,other,confirmed,2026-06-18
,,,private_domestic,confirmed,2026-01-29
Animal Typing 동물 타자연습,Animal Typing 동물 타자연습,Corentin Faucher,private_foreign,confirmed,2026-06-16
북컴퍼스,,,private_domestic,confirmed,2026-06-11
주이즈,Joo.is,,private_domestic,confirmed,2026-01-29
