계약번호,구분,계약명,계약일,금액,수요기관,학교명,학교코드,급별,시도,상세URL
R25TE08123518,기술용역,영파여자중학교 메타버스 구축 용역,2025-10-16,5300000,서울특별시강동교육청 영파여자중학교,영파여자중학교,7130196,중학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00969259&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08123882,기술용역,창원고등학교 2025학년도 1학년 1학기 AI 디지털교과서(공통수학1) 서비스 공급 용역,2025-10-14,7525000,경상남도교육청 창원고등학교,창원고등학교,9010114,고등학교,경상남도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00520720&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08124066,기술용역,2025학년도 연간 구독 AI 디지털교과서 서비스 공급 용역(공통수학1),2025-03-25,2488750,서울특별시교육청 서울도시과학기술고등학교,서울도시과학기술고등학교,7011180,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00338751&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08124067,기술용역,2025학년도 연간 구독 AI 디지털교과서 서비스 공급 용역(공통영어1),2025-03-25,5460000,서울특별시교육청 서울도시과학기술고등학교,서울도시과학기술고등학교,7011180,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00338602&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08124819,기술용역,2025학년도 연간 구독 AI 디지털교과서 서비스 공급 용역(공통영어1),2025-10-16,4192110,서울특별시교육청 서울도시과학기술고등학교,서울도시과학기술고등학교,7011180,고등학교,서울특별시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00338602&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08125533,기술용역,2025학년도 청도초 디지털선도학교 AI-SW 체험의 날 운영,2025-10-15,7000000,경상북도청도교육청 청도초등학교,청도초등학교,8911034,초등학교,경상북도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00963757&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08128776,기술용역,2025학년도 1학기 AI디지털교과서 계약 건(공통영어Ⅰ),2025-09-30,10459750,인천광역시교육청 숭덕여자고등학교,숭덕여자고등학교,7310079,고등학교,인천광역시,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00356056&ctrtChgOrd=01&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08134020,기술용역,2025학년도 디지털 AI 산학 연계 교육과정 연수 버스 임차 용역,2025-09-29,1100000,경기도교육청 세경고등학교,세경고등학교,7530947,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00970345&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08135263,기술용역,AI기반 창업가정신 프로그램,2025-10-01,5000000,경기도교육청 한국디지털미디어고등학교,한국디지털미디어고등학교,7530560,고등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00966193&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
R25TE08136143,기술용역,2025학년도 군남 AI캠프 계약,2025-10-15,11000000,경기도연천교육청 군남초등학교,군남초등학교,7701010,초등학교,경기도,https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R25TA00950793&ctrtChgOrd=00&prcmBsneSeCd=조070003&srchName=ctrtCrst&openUrl=Y
