회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,이수초등학교,1인수의,물품,[원인] 2026. 디지털선도학교 에듀테크 소프트웨어(다했니) 구입대금 지급,2026-06-02,99000,에듀지원주식회사,에듀테크
2026,흥덕고등학교,1인수의,물품,교육용 에듀테크 도구 라이센스 구입,2026-06-02,1188000,주식회사 데이터드리븐,에듀테크
2026,판동초등학교,1인수의,물품,2026. AI 선도학교 운영을 위한 에듀테크 구입,2026-06-02,468000,리프레쉬업,에듀테크
2026,청산중학교,1인수의,물품,[S2B]2026. 수업연구 에듀테크 툴(패들렛) 구입비 지출,2026-06-02,219000,나이스쿨,에듀테크
2026,이수초등학교,1인수의,물품,[원인] 2026. 디지털선도학교 에듀테크 소프트웨어(수노) 구입대금 지급,2026-06-02,392000,리프레쉬업,에듀테크
2026,이수초등학교,1인수의,물품,[원인] 2026. 디지털선도학교 에듀테크 소프트웨어(멘티미터) 구입대금 지급,2026-06-02,840000,가온인테크,에듀테크
2026,이수초등학교,1인수의,물품,[원인] 2026. 디지털선도학교 에듀테크 소프트웨어(캔바) 구입대금 지급,2026-06-02,306000,위드스쿨(주),에듀테크
2026,이수초등학교,1인수의,물품,[원인] 2026. 디지털선도학교 에듀테크 소프트웨어(패들렛) 구입대금 지급,2026-06-02,1106000,원자,에듀테크
2026,청원초등학교,1인수의,물품,"[AI 디지털 활용 선도학교] 학생참여형 게임 에듀테크(2종), 보드형 에듀테크(1종)",2026-06-01,3195000,테크빌교육(티처몰),에듀테크
2026,대금고등학교,1인수의,물품,[(보)지역특색학교]2026학년도 에듀테크 라이선스 구독(추가),2026-06-01,264000,주안테크,에듀테크
2026,동성고등학교,1인수의,물품,2026. 디지털선도학교 운영 에듀테크 라이선스(이음AI) 구입,2026-06-01,900000,(주)화이트소프트,에듀테크
2026,충북에너지고등학교,1인수의,물품,[원인] [선도]2026. AI 디지털 선도학교 에듀테크 구입,2026-06-01,1110000,주식회사 클래스카드,에듀테크
2026,충북에너지고등학교,1인수의,물품,[원인] 2026. AI 디지털 선도학교 에듀테크 구입,2026-06-01,1350000,(주)헬로소프트,에듀테크
2026,충북에너지고등학교,1인수의,물품,[원인] [선도]2026. AI 디지털 선도학교 운영 에듀테크 구입(듀오링고),2026-06-01,8931000,올아이피정보통신 주식회사,에듀테크
2026,충주공업고등학교,1인수의,물품,[원인-S2B] 2026. AI 디지털 활용 선도학교 에듀테크 프로그램 구입,2026-06-01,4200000,비케이 에듀,에듀테크
2026,증평초등학교,1인수의,물품,[카드]2026. 디지털 선도학교 운영 에듀테크(카훗) 구입,2026-05-29,1620000,테크빌교육(주),에듀테크
2026,청주혜화학교,1인수의,물품,[법카5/29] 2026학년도 에듀테크 운영 물품(블루투스 이어폰 외 4종) 구입비 지급,2026-05-29,1286880,주식회사 지마켓,에듀테크
2026,충주예성여자고등학교,1인수의,물품,[원인] 2026. 학술제 및 교과 주제탐구 운영을 위한 에듀테크 구독,2026-05-27,1452000,누리미디어,에듀테크
2026,충북고등학교,1인수의,물품,AI·디지털 활용 선도학교 에듀테크 구독비 지급(5월),2026-05-27,3900000,원교재사 세종충남지사,에듀테크
2026,청운중학교,1인수의,물품,2026학년도 AI·디지털 활용 선도학교 운영을 위한 에듀테크 이용권(이음 AI) 구입비,2026-05-22,9000000,(주)화이트소프트,에듀테크
2026,청원초등학교,1인수의,물품,[AI 디지털 활용 선도학교]퀴즈형 에듀테크 구입,2026-05-22,2700000,주식회사 젭,에듀테크
2026,영동초등학교,1인수의,물품,2026년 디지털선도학교 에듀테크(다했니) 구입,2026-05-22,198000,에듀지원주식회사,에듀테크
2026,영동초등학교,1인수의,물품,2026년 디지털선도학교 에듀테크(블루킷 외 1종)구입,2026-05-22,1174000,올댓스쿨 주식회사,에듀테크
2026,영동초등학교,1인수의,물품,2026년 디지털선도학교 에듀테크(클래스팅) 구입,2026-05-22,17066700,주식회사 씨티,에듀테크
2026,영동초등학교,1인수의,물품,2026년 디지털선도학교 에듀테크(알공) 구입,2026-05-22,9450000,주식회사 디엔소프트,에듀테크
2026,동성고등학교,1인수의,물품,2026. 디지털선도학교 운영을 위한 에듀테크(디비피아) 구입,2026-05-21,3108000,(주)누리미디어,에듀테크
2026,청주혜화학교,1인수의,물품,[원인] 2026학년도 에듀테크 물품(닌텐도) 구입비 지급,2026-05-21,4000000,(주)쿨마켓,에듀테크
2026,복대초등학교,1인수의,물품,[2026. 에듀테크 교육자료(클로드AI) 구독비 지급,2026-05-21,4774000,테크빌교육(주),에듀테크
2026,새터초등학교,1인수의,물품,디지털선도학교 에듀테크 프로그램 구입(블루킷 플러스),2026-05-20,472000,올댓스쿨 주식회사,에듀테크
