계약번호,계약구분,거래구분,계약명,기관명,공고일,계약일,금액,시도,업체명
S2BA202206080002-E00,입찰(계약),물품,2021학년도 서문여고 온라인 학습용 기자재태블릿PC) 구매,서문여자고등학교,2022-06-10,2022-06-27,64129600,,주식회사 에스인
S2BA202207200001-A00,입찰(계약),물품,학생용 노트북 및 충전보관함 구매 입찰 공고,동아중학교,2022-07-22,2022-08-02,70860000,,(주)세명시스템
S2BA202209060001-A00,입찰(계약),물품,서울디지텍고등학교 3분기 실습재료소모품 구입 입찰 공고,서울디지텍고등학교,2022-09-06,2022-09-21,6444440,,협성산업사
S2BA202210250001-A00,입찰(낙찰),물품,선정고등학교 과학중점학교 개방형실험실 구축 물품구입,선정고등학교,2022-10-26,2022-11-23,29099999,,오선하이테크(주)
S2BA202211020001-A00,입찰(계약),물품,서울디지텍고등학교 4분기 실습재료소모품 구입 입찰 공고,서울디지텍고등학교,2022-11-02,2022-11-23,5528440,,협성산업사
S2BA202301200001-E00,입찰(계약),물품,신진과학기술고등학교 스마트건설과 직업계고 재구조화 기자재 컴퓨터 구매,신진과학기술고등학교,2023-01-20,2023-01-31,52403890,,주식회사 디엘정보
S2BA202305160001-E00,입찰(계약),물품,서울디지텍고등학교 1분기 실습재료소모품 구입 입찰 공고,서울디지텍고등학교,2023-05-16,2023-05-23,5443680,,주식회사 서화테크
S2BA202305170001-A01,입찰(낙찰),물품,[재입찰] 현대고등학교 국토순례 물품제작 구매 업체 선정 입찰 공고,서울현대고등학교,2023-05-17,2023-06-12,30100000,,SJ스포츠
S2BA202311230001-A00,입찰(낙찰),물품,2023학년도 지능형 과학실 구축을 위한 MBL 무선 센서 구입 공고,호수돈여자중학교,2023-11-23,2023-12-06,22680000,,주식회사 파이브
S2BA202401180001-E00,입찰(낙찰),물품,(긴급) 2023학년도 구미산동고등학교 지능형 과학실 구축 스마트보드(전자칠판) 구입 입찰 공고,구미산동고등학교,2024-01-18,2024-01-31,21935497,,주식회사 아이티에스
S2BA202402070001-A00,입찰(낙찰),물품,2023학년도 호수돈여자고등학교 지능형 과학실 MBL 물품 입찰 공고,호수돈여자고등학교,2024-02-07,2024-02-15,22174000,,원일과학
S2BA202403140001-A00,입찰(낙찰),물품,2024학년도 1학기 학습준비물 구매 공고,서울봉화초등학교,2024-03-14,2024-03-22,5921080,,주식회사 내담오앤씨
S2BA202405200001-A00,입찰(계약),물품,현대고등학교 국토순례 물품제작 구매 업체 선정 입찰 공고,서울현대고등학교,2024-05-21,2024-06-10,28891000,,이엠이컴퍼니
S2BA202409260001-A00,입찰(낙찰),물품,2024학년도 감천초등학교 급식실 급식기구 입찰 공고,예천감천초등학교,2024-09-26,2024-10-04,15903590,,신도물산
S2BA202410080001-A00,입찰(계약),물품,경남간호고등학교 간호실습실 기자재 및 소모품 구입,경남간호고등학교,2024-10-08,2024-10-17,29114900,,태진스포츠산업
S2BA202310250001-A00,입찰(계약),공사,안용중 그린스마트스쿨 리모델링공사 바닥 교체 공사 입찰 공고,화성안용중학교,2023-10-25,2025-01-20,130000000,,주식회사 토템제이앤씨
S2BA202501230001-A00,입찰(계약),물품,태안여자고등학교 직업계고 재구조화 사업 관련 기자재(액정 타블렛) 구입,태안여자고등학교,2025-01-31,2025-02-10,33250000,,삼성컴랜드
S2BA202505210001-A00,입찰(계약),물품,경진고등학교 교육발전특구 실습기자재 구매 소액 수의계약 견적 제출,진주경진고등학교,2025-05-21,2025-06-09,39402000,,아이티즈
