# 공교육 에듀테크 활용 현황 — 자료원별·월별 수집 현황 (2020.01~2026.09)
# 숫자는 그달 그 자료원에서 '에듀테크로 판정된' 계약 건수입니다. 원자료 전체 건수가 아닙니다.
"# 빈 칸에는 왜 비었는지 아래 '비고'에 적었습니다. 사유는 우리 수집 파일의 모양으로 추정한 것이며, 원천 사이트에서 그달을 직접 확인한 것이 아닙니다."

자료원,합계,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,2026.02,2026.03,2026.04,2026.05,2026.06,2026.07,2026.08,2026.09
충북교육청 계약공개,2020.02,1,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
충북교육청 계약공개,2026.09,1,아직 공개 전(자료 기준일 이후)
전남교육청 계약공개,2020.02,1,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
전남교육청 계약공개,2026.08~2026.09,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
제주교육청 계약공개,2020.01,1,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
제주교육청 계약공개,2026.08~2026.09,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
울산교육청 계약공개,2020.01~2020.03,3,수집 자료에 그달 계약이 없음(추정 — 원천 미확인)
울산교육청 계약공개,2020.05~2020.06,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
울산교육청 계약공개,2021.01~2021.02,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
울산교육청 계약공개,2022.01,1,원자료는 받았으나 그달 에듀테크 계약이 없었음
경남교육청 계약공개,2020.01~2020.02,2,원자료는 받았으나 그달 에듀테크 계약이 없었음
경남교육청 계약공개,2024.07~2024.10,4,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
세종교육청 계약공개,2020.01,1,원자료는 받았으나 그달 에듀테크 계약이 없었음
세종교육청 계약공개,2024.09~2025.01,5,★ 수집 확인 필요 — 앞뒤 달은 자료가 있는데 이달만 비었음
세종교육청 계약공개,2026.09,1,아직 공개 전(자료 기준일 이후)
