회계연도,기관명,계약명,계약일,계약금액,계약방법,키워드
2022,광주서초등학교,연구실 및 특별실 조리수(싱크대) 설치,2023-02-27,1386000,1인수의,DroneBlocks Enterprise Membership
2022,광주전자공업고등학교,동파로 인한 교내 수도배관 긴급 공사,2023-02-27,1210000,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육고등학교,365 스터디룸 가구 추가(수강용탁자-학생용책상) 구입,2023-02-26,4720000,1인수의,DroneBlocks Enterprise Membership
2022,광주숭일고등학교,365스터디룸 조성사업 비품(씽크대)구매,2023-02-25,1450000,1인수의,DroneBlocks Enterprise Membership
2022,동일미래과학고등학교,직업계고 실험실습기자재 구입 및 수리 사업비 기자재(자율주행 프로그래밍 세트) 구입,2023-02-24,7550000,1인수의,DroneBlocks Enterprise Membership
2022,광주동성고등학교,홈베이스 학생용 책상 및 의자 구입,2023-02-24,6600000,1인수의,DroneBlocks Enterprise Membership
2022,광주동성고등학교,교직원 쉼공간(다온뜨락) 소파 구입,2023-02-24,6298000,1인수의,DroneBlocks Enterprise Membership
2022,광주동성고등학교,회의실 회의용 테이블 및 의자 구입,2023-02-24,5870000,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,특수학급 신증설사업 가구(싱크대 외 7종) 구입,2023-02-24,5022000,1인수의,DroneBlocks Enterprise Membership
2022,용주초등학교,공기청정기 필터 교체,2023-02-24,4798000,1인수의,DroneBlocks Enterprise Membership
2022,문정여자고등학교,365스터디룸 유휴공간 전등 공사,2023-02-24,3452570,1인수의,DroneBlocks Enterprise Membership
2022,광주동성고등학교,도서관 서가 구입,2023-02-24,3410000,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,특수학급 신증설사업 가구(책상 외 8종) 구입,2023-02-24,2829000,1인수의,DroneBlocks Enterprise Membership
2022,광주북성중학교,교무실 및 행정실 비품(커피머신) 구입,2023-02-24,2640000,1인수의,DroneBlocks Enterprise Membership
2022,광주계림초등학교,2022학년도 돌봄교실 환경개선사업 비품 구입(데스크톱컴퓨터 2대),2023-02-24,2450000,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,특수학급 신증설사업 비품(데스크톱컴퓨터) 구입,2023-02-24,2102000,1인수의,DroneBlocks Enterprise Membership
2022,광주전자공업고등학교,관리실 햇빛 차단용 시트지 붙임 공사비 지출,2023-02-24,1936000,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육고등학교,고교학점제 공간 조성 사업시 가구(수강용탁자) 추가 구입,2023-02-24,1888000,1인수의,DroneBlocks Enterprise Membership
2022,동일미래과학고등학교,교무실 및 쉼공간 현대화사업 비품(라운지용 의자 외 1종)구매,2023-02-24,1876000,1인수의,DroneBlocks Enterprise Membership
2022,용주초등학교,현관 신발장 조달 구입,2023-02-24,1829000,1인수의,DroneBlocks Enterprise Membership
2022,동일미래과학고등학교,성과 공유를 통한 학교 브랜드 혁신 게시물(탁상 달력) 제작,2023-02-24,1408000,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,학급 환경물품 구입,2023-02-24,1250000,1인수의,DroneBlocks Enterprise Membership
2022,수완고등학교,시청각실 리모델링공사 실시,2023-02-23,21417000,1인수의,DroneBlocks Enterprise Membership
2022,동아여자고등학교,[학교공간조성사업]고교학점제 학교 공간 조성사업에 필요한 기자재 및 비품(노트북) 구매,2023-02-23,9250000,1인수의,DroneBlocks Enterprise Membership
2022,송광중학교,2022학년도 음악실 환경개선사업에 따른 방음부스 구입비 지출,2023-02-23,3570000,1인수의,DroneBlocks Enterprise Membership
2022,광주체육고등학교,(G2B)수영장 안내데스크 데스크톱 컴퓨터 나라장터 조달구입,2023-02-23,3285600,1인수의,DroneBlocks Enterprise Membership
2022,신광중학교,(목) 2022학년도 발명교육센터 현대화사업 관련 시스템 공구함 제작비 지출,2023-02-23,3157000,1인수의,DroneBlocks Enterprise Membership
2022,도산초등학교,정문 이동식 안내판 제작 구입,2023-02-23,2200000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자고등학교,전남여고 교직원 쉼공간(다온뜨락) 출입문 어닝 구매,2023-02-23,1420000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자고등학교,[S2B] 전남여고 교무실 현대화 사업 세면대 하부장 구매,2023-02-23,1419000,1인수의,DroneBlocks Enterprise Membership
2022,문성중학교,건강체력단련 운동기구 구입,2023-02-22,19520000,1인수의,DroneBlocks Enterprise Membership
2022,금파공업고등학교,2022학년 첨단기계과 재구조화 실습재료 구입(원인),2023-02-22,18000000,1인수의,DroneBlocks Enterprise Membership
2022,성덕중학교,[G2B] 학생 음수기 조달 구입,2023-02-22,10731000,1인수의,DroneBlocks Enterprise Membership
2022,광주동성고등학교,정보실 AI팩토리 구축사업 학생용 책상 구입비 지출,2023-02-22,8190000,1인수의,DroneBlocks Enterprise Membership
2022,새미르유치원,정보화 기기 물품 구입(태블릿pc),2023-02-22,8119260,1인수의,DroneBlocks Enterprise Membership
2022,광주동성고등학교,정보실 AI팩토리 구축사업 학생용 의자 구입비 지출,2023-02-22,6300000,1인수의,DroneBlocks Enterprise Membership
2022,광주선광학교,학교기업 민들레 꿈터(민들레 카페1호점) 환경개선 비품(자동그라인더외2종) 구입,2023-02-22,5250000,1인수의,DroneBlocks Enterprise Membership
2022,광주광천초등학교,발명교육센터 현대화사업을 위한 이사 비용 지출,2023-02-22,3740000,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,2023학년도 학교교무수첩 제작 구입,2023-02-22,2800000,1인수의,DroneBlocks Enterprise Membership
2022,새미르유치원,2022학년도 악기 구입,2023-02-22,2667500,1인수의,DroneBlocks Enterprise Membership
2022,숭덕고등학교,청송역사관 내 청송디지털역사관 업데이트,2023-02-22,2310000,1인수의,DroneBlocks Enterprise Membership
2022,광주효덕초등학교,(G2B) 시청각실 영사용스크린 구입,2023-02-22,1428000,1인수의,DroneBlocks Enterprise Membership
2022,금파공업고등학교,2022학년도 전공심화동아리 모바일로보틱스 분야 실습재료 -원인,2023-02-21,2957000,1인수의,DroneBlocks Enterprise Membership
2022,장덕중학교,(G2B)2022학년도 복도 음수기(추가) 구입,2023-02-21,2720000,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,당직실 소방시설 보수(수신기 교체) 실시,2023-02-21,1738000,1인수의,DroneBlocks Enterprise Membership
2022,광주화정초등학교,(G2B)학교운동부(야구부) 동력분무기 구입비 지출,2023-02-21,1320000,1인수의,DroneBlocks Enterprise Membership
2022,유덕중학교,2022학년도 정보화 소모품(토너 외) 구입,2023-02-21,1067330,1인수의,DroneBlocks Enterprise Membership
2022,광주동성여자중학교,계단테크 안전시설물(논슬립) 및 기타시설공사,2023-02-20,7150000,1인수의,DroneBlocks Enterprise Membership
2022,서진여자고등학교,교실 복도 영상정보처리장치(CCTV) 추가설치,2023-02-20,4400000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,취업진로실 비품(화장대의자) 추가구입,2023-02-20,1740000,1인수의,DroneBlocks Enterprise Membership
2022,광주체육고등학교,[교육청동계훈련비/유도부] 유도부 물품(테이핑) 구입비 지급,2023-02-20,1452000,1인수의,DroneBlocks Enterprise Membership
2022,서진여자고등학교,"교무실 현대화사업에 따른 비품(바의자,캐비닛) 구입",2023-02-20,1420000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,직업계고 선진화 실험실(201호)구축 비품(벽면장) 구입,2023-02-20,1031000,1인수의,DroneBlocks Enterprise Membership
2022,광주효동초등학교,교사동 증축에 따른 증설학급 비품[레이저프린터 G23B],2023-02-18,3960000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,홈베이스 구축 비품(가구) 구입,2023-02-17,9959000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,직업계고 선진화 실험실(201호)구축 비품 구입,2023-02-17,5870000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,현대화사업 교육정보실 비품 구입,2023-02-17,3150000,1인수의,DroneBlocks Enterprise Membership
2022,광주숭일고등학교,365스터디룸 조성공사 구조체 탄소섬유보강 관련 구조기술 지원용역비 지출,2023-02-17,2200000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,홈베이스 구축 비품(좌식의자) 구입,2023-02-17,1962000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자상업고등학교,직업계고 선진화 실험실(201호)구축 비품(모니터거치대) 구입,2023-02-17,1608000,1인수의,DroneBlocks Enterprise Membership
2022,월계중학교,[G2b] 교실 환경개선 노후화 교탁 교체 구입,2023-02-16,11520000,1인수의,DroneBlocks Enterprise Membership
2022,광주동성여자중학교,현관 매트 제작비,2023-02-16,1950000,1인수의,DroneBlocks Enterprise Membership
2022,금파공업고등학교,실습동 3D프린터실 구축 및 유해환경개선공사 실시(운인),2023-02-15,45069000,1인수의,DroneBlocks Enterprise Membership
2022,상일여자고등학교,비품선정위원회 회의 결과에 따른 단초점 비디오 프로젝터 구매,2023-02-15,9000000,1인수의,DroneBlocks Enterprise Membership
2022,전남여자고등학교,전남여고 교무실 현대화 및 교직원 쉼공간(다온뜨락) 사업 블라인드 구입,2023-02-15,5104000,1인수의,DroneBlocks Enterprise Membership
2022,살레시오중학교,영선작업실 천정형 냉난방기 구매비 지출,2023-02-15,4087240,1인수의,DroneBlocks Enterprise Membership
2022,광주서초등학교,특별교실(컴퓨터교실 외 5곳) 전기 공사,2023-02-15,2640000,1인수의,DroneBlocks Enterprise Membership
2022,호남삼육고등학교,고교학점제 공간 조성 사업시 가구 추가구입(의자),2023-02-15,1800000,1인수의,DroneBlocks Enterprise Membership
2022,도산초등학교,각교실 칠판 판면 교체,2023-02-15,1025000,1인수의,DroneBlocks Enterprise Membership
2022,장덕중학교,(G2B)2022학년도 복도 음수기 구입,2023-02-14,8160000,1인수의,DroneBlocks Enterprise Membership
2022,전남공업고등학교,[G2B] 전남공고 전문교과 실습실 안전수칙 판넬 구입,2023-02-14,5335000,1인수의,DroneBlocks Enterprise Membership
2022,문흥중학교,(G2B) 음악실 환경개선사업 음향기기(오디오믹서 외 12종) 구입,2023-02-13,11524700,1인수의,DroneBlocks Enterprise Membership
2022,광주광역시교육청,광주광역시학생교육원 EIC동 실개조공사 건설재해예방기술지도용역,2022-12-29,1056000,1인수의,DroneBlocks Enterprise Membership
